Algorithm,Benchmark,Rep,Seed,Evals,MaxLength,Levels,BestFitness,BestFitnessNormalised,TestFitness,TestFitnessNormalised,BestExpression
UCT,MEDIAN,9,95105348,8192,100,0,0.03334999999999999,0.9677263269947259,0.04256500000000006,0.9591728093692,(17) concat if (I)< iload_1 iload_2 return_void return_void return_void print_int iload_2 iload_3 return_void return_void return_void return_void print_int iload_1 
UCT,MEDIAN,10,50078121,8192,100,0,0.03355,0.9675390643897248,0.04273124999999997,0.9590198816809222,(5) return_void return_void return_void print_int iload_3 
UCT,MEDIAN,11,-13717256,8192,100,0,0.031362500000000015,0.9695911961119393,0.032029999999999975,0.9689640805015358,(23) if (I)< iload_3 iload_2 concat concat iload_1 if (I)< iload_1 iload_3 return_void return_void print_int iload_3 iload_1 return_void return_void print_int iload_1 return_void print_int iload_3 
UCT,MEDIAN,12,93440104,8192,100,0,0.03487500000000001,0.9663002778113299,0.04085249999999997,0.9607509229213553,(12) if (I)< iload_2 iload_3 return_void print_int iload_3 return_void return_void return_void print_int iload_1 
UCT,MEDIAN,13,-72726053,8192,100,0,0.031325,0.9696264514095944,0.04370124999999998,0.9581285832511938,(27) concat if (I)< iload_3 iload_1 concat return_void print_int iload_2 iload_3 concat nop iload_3 if (I)< iload_1 iload_1 concat nop return_void print_int iload_3 concat iload_1 return_void print_int iload_1 
UCT,MEDIAN,14,-90687328,8192,100,0,0.034,0.9671179883945841,0.04020499999999999,0.961348964867502,(14) if (I)<= iload_2 iload_3 return_void return_void return_void return_void print_int iload_3 return_void return_void print_int iload_2 
UCT,MEDIAN,15,92695121,8192,100,0,0.031899999999999984,0.9690861517588913,0.04166874999999998,0.95999808000384,(25) if (I)< iload_3 iload_1 return_void return_void print_int iload_2 concat concat if (I)< iload_3 iload_2 if (I)< iload_1 iload_1 iload_1 iload_2 iload_1 iload_1 return_void print_int iload_3 
UCT,MEDIAN,16,-5338414,8192,100,0,0.03377499999999999,0.9673284805687893,0.04182874999999996,0.9598506472392897,(13) if (I)<= iload_1 iload_2 concat return_void print_int iload_3 iload_2 return_void return_void print_int iload_1 
UCT,MEDIAN,17,-98524410,8192,100,0,0.0341,0.9670244657189827,0.041134999999999984,0.9604902342155437,(13) if (I)<= iload_1 iload_2 return_void return_void return_void return_void print_int iload_1 return_void print_int iload_3 
UCT,MEDIAN,18,81980343,8192,100,0,0.03329999999999999,0.9677731539727089,0.04337624999999997,0.9584270295590878,(14) concat concat if (I)<= iload_2 iload_1 iload_1 return_void print_int iload_3 iload_1 return_void print_int iload_2 
UCT,MEDIAN,19,-80210287,8192,100,0,0.03493749999999999,0.9662419228214264,0.04165500000000004,0.9600107521204237,(15) if (I)<= iload_3 iload_2 concat print_int iload_3 return_void nop return_void return_void return_void return_void print_int iload_2 
UCT,MEDIAN,20,-30183780,8192,100,0,0.034562499999999996,0.9665921585211139,0.041966250000000004,0.9597239833823793,(14) if (I)<= iload_2 iload_3 return_void return_void print_int iload_3 return_void return_void return_void return_void print_int iload_2 
UCT,MEDIAN,21,-19591425,8192,100,0,0.0348625,0.9663119496551474,0.042170000000000006,0.9595363520346968,(3) return_void print_int iload_2 
UCT,MEDIAN,22,93328778,8192,100,0,0.03163749999999999,0.9693327355781464,0.04302750000000004,0.9587474922760906,(10) if (I)< iload_2 iload_1 return_void print_int iload_1 return_void print_int iload_3 
