Case 19,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.26933E-06,1.26541E-06,1.25975E-06,1.38884E-06,1.28852E-06,1.28847E-06,1.29149E-06,1.29165E-06,1.44153E-06,1.29242E-06,1.28558E-06,1.29039E-06,1.37563E-06,1.28914E-06,1.29566E-06,1.40090E-06,1.37600E-06,1.40286E-06,1.28981E-06,1.28714E-06
Default setting 02,1.26566E-06,1.26372E-06,1.26108E-06,1.39279E-06,1.29246E-06,1.29053E-06,1.29315E-06,1.28866E-06,1.48582E-06,1.28900E-06,1.35502E-06,1.29050E-06,1.37121E-06,1.29154E-06,1.29034E-06,1.40184E-06,1.37681E-06,1.40121E-06,1.29293E-06,1.28526E-06
Default setting 03,1.26594E-06,1.26167E-06,1.26044E-06,1.39076E-06,1.29002E-06,1.29230E-06,1.29583E-06,1.28850E-06,1.47735E-06,1.29333E-06,1.36853E-06,1.29135E-06,1.37403E-06,1.28629E-06,1.28997E-06,1.40461E-06,1.34467E-06,1.40227E-06,1.29402E-06,1.28427E-06
Default setting 04,1.26076E-06,1.25695E-06,1.25419E-06,1.39421E-06,1.29048E-06,1.29263E-06,1.29240E-06,1.29178E-06,1.38638E-06,1.29065E-06,1.28900E-06,1.29213E-06,1.36837E-06,1.29068E-06,1.29500E-06,1.40269E-06,1.29610E-06,1.39955E-06,1.29039E-06,1.28517E-06
Default setting 05,1.26136E-06,1.25828E-06,1.26305E-06,1.39048E-06,1.28859E-06,1.37500E-06,1.29159E-06,1.29295E-06,1.38598E-06,1.29093E-06,1.29068E-06,1.29416E-06,1.37101E-06,1.28974E-06,1.29345E-06,1.40301E-06,1.29475E-06,1.37729E-06,1.29161E-06,1.28559E-06
Default setting 06,1.26414E-06,1.26197E-06,1.26301E-06,1.35807E-06,1.28780E-06,1.30524E-06,1.29316E-06,1.29367E-06,1.48457E-06,1.29216E-06,1.29067E-06,1.28916E-06,1.37139E-06,1.28853E-06,1.29037E-06,1.38045E-06,1.29284E-06,1.37536E-06,1.29217E-06,1.28510E-06
Default setting 07,1.28444E-06,1.26048E-06,1.25791E-06,1.34326E-06,1.29218E-06,1.28803E-06,1.28970E-06,1.29161E-06,1.38514E-06,1.29177E-06,1.29176E-06,1.29642E-06,1.37194E-06,1.29401E-06,1.29043E-06,1.37657E-06,1.29692E-06,1.37708E-06,1.29300E-06,1.28521E-06
Default setting 08,1.28672E-06,1.38055E-06,1.34817E-06,1.26260E-06,1.29206E-06,1.29241E-06,1.28707E-06,1.29055E-06,1.29534E-06,1.29128E-06,1.29132E-06,1.29564E-06,1.37192E-06,1.29468E-06,1.29230E-06,1.37526E-06,1.29723E-06,1.37164E-06,1.28945E-06,1.28528E-06
Default setting 09,1.28249E-06,1.37380E-06,1.35390E-06,1.25762E-06,1.28828E-06,1.28749E-06,1.28679E-06,1.29223E-06,1.29776E-06,1.29217E-06,1.29015E-06,1.29638E-06,1.37090E-06,1.29147E-06,1.29208E-06,1.37447E-06,1.29632E-06,1.37225E-06,1.28823E-06,1.28748E-06
Default setting 10,1.28040E-06,1.39180E-06,1.39575E-06,1.25376E-06,1.29046E-06,1.28733E-06,1.28863E-06,1.29105E-06,1.29409E-06,1.29156E-06,1.28908E-06,1.28753E-06,1.37201E-06,1.29005E-06,1.29547E-06,1.37477E-06,1.28820E-06,1.37452E-06,1.29247E-06,1.29113E-06
Default setting 11,1.28720E-06,1.30722E-06,1.40214E-06,1.25889E-06,1.28938E-06,1.28651E-06,1.28642E-06,1.29306E-06,1.29320E-06,1.29236E-06,1.29093E-06,1.29075E-06,1.37209E-06,1.29054E-06,1.28668E-06,1.37717E-06,1.29338E-06,1.37118E-06,1.29082E-06,1.29307E-06
Default setting 12,1.28387E-06,1.28445E-06,1.39126E-06,1.25567E-06,1.29174E-06,1.28953E-06,1.28790E-06,1.29308E-06,1.29535E-06,1.28581E-06,1.29033E-06,1.28855E-06,1.37020E-06,1.28849E-06,1.29744E-06,1.37365E-06,1.29426E-06,1.37385E-06,1.29106E-06,1.28934E-06
Default setting 13,1.28204E-06,1.28172E-06,1.38827E-06,1.25497E-06,1.29210E-06,1.29002E-06,1.28722E-06,1.29387E-06,1.29117E-06,1.28688E-06,1.29054E-06,1.28725E-06,1.37242E-06,1.29143E-06,1.29144E-06,1.37241E-06,1.29238E-06,1.37465E-06,1.29300E-06,1.29066E-06
Default setting 14,1.27213E-06,1.28243E-06,1.39471E-06,1.26136E-06,1.29487E-06,1.29052E-06,1.28654E-06,1.28987E-06,1.29465E-06,1.28624E-06,1.28676E-06,1.29192E-06,1.38781E-06,1.29604E-06,1.29046E-06,1.37430E-06,1.37272E-06,1.39469E-06,1.29057E-06,1.28925E-06
