Case 03,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.9112E-06,1.93472E-06,2.0952E-06,1.93797E-06,1.94552E-06,1.94385E-06,1.94347E-06,1.96603E-06,1.93393E-06,1.9753E-06,1.92419E-06,1.92555E-06,1.92679E-06,1.92502E-06,1.92578E-06,1.92503E-06,1.92606E-06,1.94229E-06,1.93032E-06,1.92248E-06
Default setting 02,1.90457E-06,1.93516E-06,2.08221E-06,1.93728E-06,1.93847E-06,1.92751E-06,1.92929E-06,1.93202E-06,1.93264E-06,1.9367E-06,1.92101E-06,1.92191E-06,1.9202E-06,1.91697E-06,1.92366E-06,1.922E-06,1.92409E-06,1.93793E-06,1.9268E-06,1.93842E-06
Default setting 03,1.90969E-06,1.93483E-06,2.07921E-06,2.03396E-06,1.93476E-06,1.92677E-06,1.92935E-06,1.9331E-06,1.93327E-06,1.9223E-06,1.92016E-06,1.9229E-06,1.92505E-06,1.91605E-06,1.92132E-06,1.92324E-06,1.92719E-06,1.94138E-06,1.92509E-06,1.938E-06
Default setting 04,1.90772E-06,1.93343E-06,2.03128E-06,1.95174E-06,1.9418E-06,1.92969E-06,1.92787E-06,1.92653E-06,1.93439E-06,1.92376E-06,1.92098E-06,1.92301E-06,1.91951E-06,1.91914E-06,1.92228E-06,1.92316E-06,1.93382E-06,1.94014E-06,1.91971E-06,1.93778E-06
Default setting 05,1.90748E-06,1.93237E-06,2.02837E-06,1.9335E-06,1.93959E-06,1.93423E-06,1.9287E-06,1.92346E-06,1.934E-06,1.92523E-06,1.92487E-06,1.92495E-06,1.91895E-06,1.91825E-06,1.9216E-06,1.92609E-06,1.92672E-06,1.93792E-06,1.91739E-06,1.94209E-06
Default setting 06,1.90801E-06,1.93449E-06,2.02716E-06,1.9347E-06,1.9369E-06,1.93111E-06,1.9306E-06,1.92455E-06,1.96484E-06,1.92904E-06,1.91809E-06,1.92568E-06,1.92319E-06,1.92139E-06,1.91948E-06,1.92428E-06,1.93549E-06,1.93773E-06,1.91933E-06,1.94353E-06
Default setting 07,1.90874E-06,1.93366E-06,2.02432E-06,1.93314E-06,1.93687E-06,1.92684E-06,1.9258E-06,1.92322E-06,1.97989E-06,1.92112E-06,1.91789E-06,1.92096E-06,1.9236E-06,1.92336E-06,1.92221E-06,1.9241E-06,1.92532E-06,1.93937E-06,1.92495E-06,1.93853E-06
Default setting 08,1.91113E-06,1.93416E-06,2.02721E-06,1.93154E-06,1.9367E-06,1.92885E-06,1.92892E-06,1.92035E-06,1.9799E-06,1.9245E-06,1.91898E-06,1.92295E-06,1.92255E-06,1.92208E-06,1.92193E-06,1.92519E-06,1.93426E-06,1.93723E-06,1.92016E-06,1.94031E-06
Default setting 09,1.90737E-06,1.93299E-06,2.02907E-06,1.93199E-06,1.93707E-06,1.92855E-06,1.92766E-06,1.92525E-06,1.97761E-06,1.92972E-06,1.92007E-06,1.92314E-06,1.92453E-06,1.92269E-06,1.92158E-06,1.9226E-06,1.92612E-06,1.93873E-06,1.92427E-06,1.94182E-06
Default setting 10,1.90785E-06,1.93207E-06,2.02981E-06,1.93318E-06,1.93987E-06,1.92478E-06,1.93096E-06,1.92485E-06,1.97799E-06,1.92412E-06,1.92435E-06,1.921E-06,1.91631E-06,1.92316E-06,1.9222E-06,1.91824E-06,1.93108E-06,1.93527E-06,1.92807E-06,1.94091E-06
