Case 15,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.04669E-06,1.05087E-06,9.71447E-07,9.70705E-07,1.05806E-06,9.69857E-07,9.73392E-07,1.05315E-06,9.74404E-07,1.05586E-06,9.74922E-07,9.75288E-07,9.84480E-07,9.77484E-07,1.03737E-06,9.73294E-07,9.72521E-07,9.73514E-07,9.72828E-07,9.77203E-07
Default setting 02,1.04337E-06,1.05426E-06,9.68854E-07,9.71568E-07,1.05934E-06,9.71767E-07,9.71545E-07,1.05275E-06,9.70139E-07,1.05537E-06,9.74254E-07,9.74302E-07,9.85618E-07,9.77965E-07,1.03649E-06,9.74463E-07,9.71130E-07,9.71715E-07,9.73375E-07,9.74988E-07
Default setting 03,1.04445E-06,1.06286E-06,9.70443E-07,9.70469E-07,1.00703E-06,9.70357E-07,9.71818E-07,1.05261E-06,9.71855E-07,1.05665E-06,9.80332E-07,9.77042E-07,9.82144E-07,9.78441E-07,1.03443E-06,9.73668E-07,9.75371E-07,9.71375E-07,9.72475E-07,9.75008E-07
Default setting 04,1.04285E-06,1.06475E-06,9.73324E-07,9.70582E-07,9.85265E-07,9.72033E-07,9.82765E-07,1.03275E-06,9.72306E-07,9.84126E-07,9.77137E-07,9.75133E-07,9.86438E-07,9.77634E-07,1.03512E-06,9.74076E-07,9.73277E-07,9.71253E-07,9.71807E-07,9.78364E-07
Default setting 05,1.04422E-06,1.06370E-06,9.73125E-07,9.69793E-07,9.85591E-07,9.72404E-07,9.83705E-07,9.79231E-07,9.73773E-07,9.88499E-07,9.75724E-07,9.76150E-07,9.84756E-07,9.78436E-07,1.03591E-06,9.75149E-07,9.99778E-07,9.72211E-07,9.74663E-07,9.75735E-07
Default setting 06,1.04395E-06,1.06375E-06,9.72334E-07,9.70433E-07,9.85620E-07,9.73045E-07,9.85161E-07,9.74719E-07,9.75808E-07,9.86960E-07,9.75764E-07,9.77758E-07,9.84498E-07,9.80457E-07,1.03922E-06,9.72379E-07,1.03772E-06,9.71205E-07,9.73438E-07,9.72840E-07
Default setting 07,1.04725E-06,1.06569E-06,9.71336E-07,9.70878E-07,9.85572E-07,9.72405E-07,9.83670E-07,9.73801E-07,9.73611E-07,9.84542E-07,9.74507E-07,9.74470E-07,9.85473E-07,9.76760E-07,1.05405E-06,9.72522E-07,1.04547E-06,9.70321E-07,9.71954E-07,9.74843E-07
Default setting 08,1.04937E-06,1.06360E-06,9.74414E-07,9.71665E-07,9.83130E-07,9.72921E-07,9.84744E-07,9.71812E-07,9.72027E-07,9.87019E-07,9.71902E-07,9.74907E-07,9.84587E-07,9.79150E-07,1.05372E-06,9.76008E-07,1.05785E-06,9.73160E-07,9.71462E-07,9.77484E-07
Default setting 09,1.04364E-06,1.06542E-06,9.72244E-07,9.69976E-07,9.71346E-07,9.71689E-07,9.85411E-07,9.69912E-07,9.73909E-07,9.84447E-07,9.75405E-07,9.73844E-07,9.86387E-07,9.80158E-07,1.05452E-06,9.75329E-07,1.05543E-06,9.71036E-07,9.71963E-07,9.76551E-07
Default setting 10,1.02480E-06,1.06224E-06,9.72284E-07,9.71778E-07,9.74678E-07,9.72554E-07,9.82755E-07,9.75436E-07,9.72831E-07,9.86604E-07,9.76028E-07,9.74589E-07,9.85432E-07,9.77450E-07,1.05469E-06,9.74341E-07,1.05630E-06,9.71744E-07,9.70998E-07,9.74550E-07
