Case 07,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.23406E-06,1.31183E-06,1.30872E-06,1.30735E-06,1.31622E-06,1.33896E-06,1.16315E-06,1.15753E-06,1.15301E-06,1.31839E-06,1.15982E-06,1.16279E-06,1.16253E-06,1.15876E-06,1.16685E-06,1.1657E-06,1.1626E-06,1.16435E-06,1.15997E-06,1.16229E-06
Default setting 02,1.28344E-06,1.30342E-06,1.30704E-06,1.30575E-06,1.31585E-06,1.33261E-06,1.16091E-06,1.15956E-06,1.15526E-06,1.31926E-06,1.16165E-06,1.16498E-06,1.16207E-06,1.16031E-06,1.16503E-06,1.16706E-06,1.16232E-06,1.16488E-06,1.16513E-06,1.16508E-06
Default setting 03,1.28053E-06,1.30605E-06,1.30835E-06,1.30712E-06,1.3202E-06,1.33236E-06,1.16125E-06,1.157E-06,1.15392E-06,1.32294E-06,1.15881E-06,1.1641E-06,1.16398E-06,1.16112E-06,1.16352E-06,1.16453E-06,1.1606E-06,1.16497E-06,1.16409E-06,1.16289E-06
Default setting 04,1.28596E-06,1.30837E-06,1.31033E-06,1.30574E-06,1.31427E-06,1.43673E-06,1.15923E-06,1.1561E-06,1.15494E-06,1.31956E-06,1.1609E-06,1.16546E-06,1.16587E-06,1.16111E-06,1.16419E-06,1.1658E-06,1.1623E-06,1.1642E-06,1.16156E-06,1.16117E-06
Default setting 05,1.28689E-06,1.30722E-06,1.30663E-06,1.30908E-06,1.31683E-06,1.43697E-06,1.16012E-06,1.15587E-06,1.15236E-06,1.31404E-06,1.16165E-06,1.16284E-06,1.16399E-06,1.16017E-06,1.16358E-06,1.16474E-06,1.16071E-06,1.16396E-06,1.16119E-06,1.16354E-06
Default setting 06,1.28542E-06,1.30751E-06,1.31095E-06,1.30548E-06,1.31842E-06,1.37546E-06,1.15995E-06,1.15594E-06,1.15431E-06,1.31303E-06,1.15998E-06,1.1632E-06,1.16478E-06,1.16018E-06,1.1615E-06,1.16526E-06,1.16125E-06,1.16384E-06,1.16383E-06,1.16189E-06
Default setting 07,1.28553E-06,1.30668E-06,1.31084E-06,1.30651E-06,1.3171E-06,1.30897E-06,1.16004E-06,1.15842E-06,1.15453E-06,1.31197E-06,1.15853E-06,1.16386E-06,1.16132E-06,1.15918E-06,1.1668E-06,1.16426E-06,1.16002E-06,1.16404E-06,1.16085E-06,1.16328E-06
Default setting 08,1.27595E-06,1.30648E-06,1.30937E-06,1.31173E-06,1.31733E-06,1.30768E-06,1.16048E-06,1.15648E-06,1.15618E-06,1.31325E-06,1.16221E-06,1.16503E-06,1.16245E-06,1.1602E-06,1.16262E-06,1.16497E-06,1.16169E-06,1.16301E-06,1.16217E-06,1.2392E-06
Default setting 09,1.27386E-06,1.30781E-06,1.30479E-06,1.30567E-06,1.3215E-06,1.31268E-06,1.16211E-06,1.15897E-06,1.15418E-06,1.3145E-06,1.15935E-06,1.16522E-06,1.1625E-06,1.15909E-06,1.16349E-06,1.16477E-06,1.16071E-06,1.16462E-06,1.16245E-06,1.23709E-06
Default setting 10,1.26947E-06,1.3074E-06,1.30548E-06,1.30697E-06,1.31494E-06,1.3088E-06,1.16693E-06,1.15907E-06,1.15578E-06,1.31854E-06,1.1598E-06,1.16319E-06,1.16497E-06,1.16003E-06,1.16417E-06,1.16525E-06,1.16324E-06,1.16488E-06,1.16118E-06,1.23487E-06
