Case 05,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.65303E-06,1.48181E-06,1.47928E-06,1.48818E-06,1.47613E-06,1.48417E-06,1.64136E-06,1.49106E-06,1.48903E-06,1.47776E-06,1.48438E-06,1.48595E-06,1.61214E-06,1.56305E-06,1.64134E-06,1.49073E-06,1.49322E-06,1.49518E-06,1.48659E-06,1.48475E-06
Default setting 02,1.64468E-06,1.47167E-06,1.4855E-06,1.48698E-06,1.47392E-06,1.48137E-06,1.63558E-06,1.48784E-06,1.49598E-06,1.47413E-06,1.48139E-06,1.48322E-06,1.61039E-06,1.48421E-06,1.6381E-06,1.48494E-06,1.49194E-06,1.48798E-06,1.48384E-06,1.48215E-06
Default setting 03,1.63958E-06,1.47471E-06,1.48553E-06,1.48905E-06,1.47721E-06,1.48241E-06,1.63794E-06,1.49019E-06,1.49045E-06,1.4765E-06,1.48469E-06,1.48196E-06,1.6096E-06,1.48545E-06,1.63635E-06,1.48359E-06,1.49249E-06,1.48253E-06,1.48389E-06,1.48468E-06
Default setting 04,1.64087E-06,1.4796E-06,1.47405E-06,1.48328E-06,1.47226E-06,1.48089E-06,1.6385E-06,1.48266E-06,1.48758E-06,1.47193E-06,1.48281E-06,1.47482E-06,1.61026E-06,1.47924E-06,1.53244E-06,1.48426E-06,1.49157E-06,1.48232E-06,1.48577E-06,1.48329E-06
Default setting 05,1.64107E-06,1.48008E-06,1.47923E-06,1.48295E-06,1.47556E-06,1.4811E-06,1.63751E-06,1.48074E-06,1.48651E-06,1.47397E-06,1.48764E-06,1.47552E-06,1.60962E-06,1.48448E-06,1.51173E-06,1.48782E-06,1.49091E-06,1.48441E-06,1.48531E-06,1.48495E-06
Default setting 06,1.64164E-06,1.48097E-06,1.47986E-06,1.48368E-06,1.47764E-06,1.48036E-06,1.63939E-06,1.47886E-06,1.48231E-06,1.47676E-06,1.48903E-06,1.47915E-06,1.60982E-06,1.48476E-06,1.51567E-06,1.4823E-06,1.4915E-06,1.48223E-06,1.48527E-06,1.4837E-06
Default setting 07,1.64258E-06,1.47754E-06,1.47913E-06,1.48362E-06,1.4792E-06,1.47994E-06,1.63758E-06,1.48005E-06,1.4826E-06,1.4728E-06,1.48781E-06,1.47729E-06,1.60897E-06,1.48316E-06,1.5113E-06,1.4765E-06,1.48146E-06,1.49187E-06,1.48488E-06,1.48457E-06
Default setting 08,1.64076E-06,1.47876E-06,1.47484E-06,1.48569E-06,1.48535E-06,1.47866E-06,1.63815E-06,1.47851E-06,1.47867E-06,1.47925E-06,1.48755E-06,1.4756E-06,1.61099E-06,1.48025E-06,1.51477E-06,1.47715E-06,1.48051E-06,1.48746E-06,1.48444E-06,1.48559E-06
Default setting 09,1.64139E-06,1.47837E-06,1.47601E-06,1.48327E-06,1.48486E-06,1.485E-06,1.63789E-06,1.48048E-06,1.47913E-06,1.48644E-06,1.48831E-06,1.47502E-06,1.61858E-06,1.47961E-06,1.51598E-06,1.47442E-06,1.48431E-06,1.48578E-06,1.48491E-06,1.4863E-06
Default setting 10,1.64136E-06,1.47894E-06,1.47739E-06,1.48939E-06,1.48333E-06,1.48407E-06,1.63469E-06,1.47874E-06,1.47896E-06,1.48427E-06,1.4812E-06,1.47551E-06,1.63606E-06,1.47606E-06,1.51362E-06,1.47813E-06,1.4839E-06,1.48656E-06,1.48563E-06,1.48775E-06
Default setting 11,1.64084E-06,1.48116E-06,1.47727E-06,1.47963E-06,1.48492E-06,1.47722E-06,1.63792E-06,1.47998E-06,1.47877E-06,1.48525E-06,1.47841E-06,1.48564E-06,1.63744E-06,1.48082E-06,1.49782E-06,1.47348E-06,1.48214E-06,1.48671E-06,1.48356E-06,1.48809E-06
Default setting 12,1.64178E-06,1.47873E-06,1.47538E-06,1.48487E-06,1.48398E-06,1.47481E-06,1.63732E-06,1.48092E-06,1.47977E-06,1.47881E-06,1.48035E-06,1.48521E-06,1.63803E-06,1.47701E-06,1.48627E-06,1.47413E-06,1.4817E-06,1.48768E-06,1.48526E-06,1.48502E-06
Default setting 13,1.64508E-06,1.47652E-06,1.47685E-06,1.48526E-06,1.4783E-06,1.48658E-06,1.63736E-06,1.48027E-06,1.4806E-06,1.47894E-06,1.47698E-06,1.48558E-06,1.63716E-06,1.47884E-06,1.48185E-06,1.47795E-06,1.48471E-06,1.48769E-06,1.48839E-06,1.48519E-06
Default setting 14,1.64299E-06,1.47383E-06,1.47803E-06,1.48404E-06,1.47848E-06,1.4911E-06,1.64009E-06,1.47932E-06,1.47872E-06,1.48156E-06,1.47869E-06,1.48435E-06,1.5215E-06,1.48287E-06,1.4842E-06,1.47649E-06,1.48268E-06,1.48603E-06,1.48194E-06,1.48732E-06
Default setting 15,1.6433E-06,1.47519E-06,1.47759E-06,1.47797E-06,1.47924E-06,1.49003E-06,1.63705E-06,1.47841E-06,1.4769E-06,1.47958E-06,1.48139E-06,1.48665E-06,1.51413E-06,1.4778E-06,1.48156E-06,1.4751E-06,1.48516E-06,1.48929E-06,1.47575E-06,1.48437E-06
