Case 12,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,2.05031E-06,1.87067E-06,1.87066E-06,1.88168E-06,1.87362E-06,1.87093E-06,1.86953E-06,1.8689E-06,1.86955E-06,1.86845E-06,1.876E-06,1.868E-06,1.87459E-06,1.87091E-06,1.87511E-06,1.86175E-06,1.86979E-06,1.90849E-06,1.86969E-06,1.86547E-06
Default setting 02,1.98893E-06,1.86659E-06,1.87358E-06,1.87962E-06,1.8647E-06,1.87298E-06,1.86505E-06,1.87297E-06,1.87088E-06,1.86965E-06,1.87677E-06,1.86672E-06,1.86938E-06,1.86555E-06,1.87581E-06,1.85463E-06,1.86452E-06,1.90111E-06,1.87378E-06,1.86526E-06
Default setting 03,1.85944E-06,1.86519E-06,1.87311E-06,1.87621E-06,1.8695E-06,1.87073E-06,1.86594E-06,1.8798E-06,1.87073E-06,1.86555E-06,1.875E-06,1.87096E-06,1.87053E-06,1.86569E-06,1.87409E-06,1.85442E-06,1.86464E-06,1.90321E-06,1.87018E-06,1.86426E-06
Default setting 04,1.85795E-06,1.86353E-06,1.86912E-06,1.87805E-06,1.87159E-06,1.86986E-06,1.86229E-06,1.8774E-06,1.87106E-06,1.86768E-06,1.87678E-06,1.87079E-06,1.87002E-06,1.87006E-06,1.87313E-06,1.85781E-06,1.86666E-06,1.90076E-06,1.87124E-06,1.86733E-06
Default setting 05,1.86047E-06,1.86663E-06,1.86734E-06,1.88355E-06,1.86585E-06,1.87288E-06,1.86472E-06,1.87744E-06,1.87231E-06,1.86175E-06,1.87477E-06,1.86914E-06,1.86896E-06,1.87702E-06,1.87429E-06,1.85941E-06,1.86617E-06,1.90313E-06,1.87377E-06,1.87137E-06
Default setting 06,1.85547E-06,1.87033E-06,1.86812E-06,1.87704E-06,1.87001E-06,1.87274E-06,1.86136E-06,1.87459E-06,1.8716E-06,1.86238E-06,1.87466E-06,1.86163E-06,1.87135E-06,1.87651E-06,1.87493E-06,1.85983E-06,1.86417E-06,1.90186E-06,1.87185E-06,1.87363E-06
Default setting 07,1.85851E-06,1.86321E-06,1.86838E-06,1.87777E-06,1.8664E-06,1.86845E-06,1.8626E-06,1.87257E-06,1.87533E-06,1.86371E-06,1.87493E-06,1.86286E-06,1.87149E-06,1.87424E-06,1.87427E-06,1.8611E-06,1.86462E-06,1.90525E-06,1.87108E-06,1.87458E-06
Default setting 08,1.86088E-06,1.86267E-06,1.86664E-06,1.87772E-06,1.86744E-06,1.86275E-06,1.86417E-06,1.87372E-06,2.05531E-06,1.86229E-06,1.87513E-06,1.87366E-06,1.87085E-06,1.87531E-06,1.86783E-06,1.85783E-06,1.86212E-06,1.90274E-06,1.8708E-06,1.87055E-06
Default setting 09,1.85982E-06,1.86148E-06,1.87289E-06,1.87306E-06,1.86709E-06,1.86267E-06,1.86218E-06,1.87317E-06,1.92757E-06,1.86281E-06,1.87577E-06,1.8758E-06,1.8697E-06,1.8754E-06,1.86992E-06,1.85814E-06,1.86308E-06,1.90597E-06,1.86691E-06,1.86969E-06
Default setting 10,1.86128E-06,1.85828E-06,1.87303E-06,1.87664E-06,1.86683E-06,1.85929E-06,1.86342E-06,1.87468E-06,1.86968E-06,1.86041E-06,1.87675E-06,1.86398E-06,1.86734E-06,1.87631E-06,1.87368E-06,1.85988E-06,1.87174E-06,1.90293E-06,1.86855E-06,1.87068E-06
Default setting 11,1.85827E-06,1.86102E-06,1.86881E-06,1.87614E-06,1.86299E-06,1.86283E-06,1.86231E-06,1.86938E-06,1.87168E-06,1.86776E-06,1.87619E-06,1.86196E-06,1.8697E-06,1.87616E-06,1.87519E-06,1.85812E-06,1.91359E-06,1.89806E-06,1.86947E-06,1.87263E-06
Default setting 12,1.86065E-06,1.86444E-06,1.87071E-06,1.87816E-06,1.86244E-06,1.8677E-06,1.86404E-06,1.87323E-06,1.86943E-06,1.86323E-06,1.87904E-06,1.86463E-06,1.8693E-06,1.87252E-06,1.87126E-06,1.85451E-06,1.91519E-06,1.89527E-06,1.87116E-06,1.8735E-06
Default setting 13,1.86166E-06,1.86367E-06,1.87044E-06,1.87546E-06,1.86699E-06,1.86846E-06,1.86389E-06,1.87236E-06,1.87026E-06,1.86573E-06,1.87777E-06,1.8637E-06,1.87105E-06,1.87335E-06,1.85906E-06,1.85715E-06,1.90857E-06,1.90647E-06,1.87257E-06,1.86425E-06
