Case 02,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 19,1.04657E-06,1.04977E-06,1.04813E-06,1.04941E-06,1.04967E-06,1.05348E-06,1.0434E-06,1.04834E-06,1.05121E-06,1.05357E-06,1.0519E-06,1.07821E-06,1.05656E-06,1.05724E-06,1.15338E-06,1.05486E-06,1.05726E-06,1.05348E-06,1.07571E-06,1.05258E-06
Default setting 20,1.05055E-06,1.05427E-06,1.04794E-06,1.05348E-06,1.0515E-06,1.05123E-06,1.0419E-06,1.04942E-06,1.04929E-06,1.05589E-06,1.05618E-06,1.07855E-06,1.05444E-06,1.05597E-06,1.1545E-06,1.05574E-06,1.05742E-06,1.05332E-06,1.07692E-06,1.05295E-06
Amortise opt. 01,1.14179E-06,1.14048E-06,9.37757E-07,9.38876E-07,1.12998E-06,9.36683E-07,9.30104E-07,1.15454E-06,9.83409E-07,1.15088E-06,1.02083E-06,1.02224E-06,9.99578E-07,1.15499E-06,1.17616E-06,3.27278E-06,1.04182E-06,9.48927E-07,1.02977E-06,1.01991E-06
Amortise opt. 02,1.13819E-06,1.14737E-06,9.59864E-07,9.48019E-07,1.12437E-06,9.45129E-07,9.36518E-07,1.16531E-06,9.8277E-07,1.16076E-06,1.02977E-06,1.05633E-06,9.99171E-07,1.16757E-06,1.17479E-06,3.27502E-06,9.16935E-07,9.35855E-07,1.02436E-06,1.02079E-06
Amortise opt. 03,1.13266E-06,1.14243E-06,9.23914E-07,9.35882E-07,1.1436E-06,9.39498E-07,9.23261E-07,1.15216E-06,9.41265E-07,1.04585E-06,1.02105E-06,1.02701E-06,9.74214E-07,1.14901E-06,1.14107E-06,3.25189E-06,1.02928E-06,9.37694E-07,1.0144E-06,1.00676E-06
Amortise opt. 04,1.12848E-06,1.00395E-06,9.24936E-07,9.36641E-07,1.13585E-06,1.00797E-06,9.2515E-07,1.1544E-06,9.43763E-07,1.03839E-06,1.02334E-06,9.98253E-07,9.75532E-07,1.15139E-06,1.1397E-06,3.25262E-06,9.14812E-07,9.36378E-07,1.01012E-06,1.00661E-06
Amortise opt. 05,1.12589E-06,1.03155E-06,9.39063E-07,9.38819E-07,1.14139E-06,1.00923E-06,9.26422E-07,1.15497E-06,9.84869E-07,1.14878E-06,1.04168E-06,1.03037E-06,9.97321E-07,1.15486E-06,1.1325E-06,3.2532E-06,9.26718E-07,9.46992E-07,1.0111E-06,1.00414E-06
Amortise opt. 06,1.12835E-06,1.01806E-06,9.2808E-07,9.23042E-07,1.13232E-06,1.00084E-06,9.13261E-07,9.4078E-07,1.01774E-06,1.03106E-06,1.02618E-06,1.04276E-06,9.58789E-07,1.1494E-06,1.13798E-06,1.04496E-06,1.04663E-06,9.51466E-07,1.01042E-06,1.00694E-06
Amortise opt. 07,1.13101E-06,9.96158E-07,9.41056E-07,9.24867E-07,1.13652E-06,1.00039E-06,9.16413E-07,9.44048E-07,9.65426E-07,1.02327E-06,1.005E-06,9.9944E-07,9.61555E-07,1.15048E-06,1.14026E-06,1.05003E-06,1.04154E-06,1.17295E-06,1.07689E-06,1.00843E-06
Amortise opt. 08,1.14855E-06,1.0313E-06,9.60544E-07,9.25058E-07,1.1342E-06,1.00534E-06,9.12649E-07,9.20551E-07,9.8251E-07,1.03988E-06,9.40261E-07,1.0295E-06,9.77899E-07,1.15191E-06,1.08115E-06,1.03979E-06,9.20405E-07,1.18353E-06,1.13479E-06,1.01968E-06
Amortise opt. 09,1.15588E-06,1.02324E-06,9.25754E-07,9.79725E-07,1.11952E-06,1.00335E-06,9.14364E-07,9.22381E-07,9.65801E-07,1.03491E-06,9.84412E-07,1.04163E-06,9.48899E-07,1.14612E-06,1.09267E-06,1.04195E-06,1.03013E-06,1.17053E-06,1.10167E-06,1.02322E-06
Amortise opt. 10,1.13709E-06,9.98276E-07,9.2498E-07,1.01162E-06,1.11497E-06,3.13961E-06,9.13104E-07,9.29662E-07,9.95984E-07,1.02559E-06,9.41316E-07,9.9433E-07,9.49177E-07,1.14078E-06,1.08807E-06,1.03896E-06,9.13917E-07,1.17299E-06,1.04386E-06,1.00125E-06
Amortise opt. 11,1.14472E-06,1.03181E-06,9.43591E-07,1.02197E-06,1.13668E-06,3.14317E-06,9.38209E-07,9.4566E-07,9.90483E-07,9.90252E-07,9.38664E-07,1.02794E-06,9.47627E-07,1.1428E-06,1.06963E-06,1.04455E-06,9.27014E-07,1.17532E-06,1.06072E-06,1.00195E-06
Amortise opt. 12,1.14367E-06,1.00262E-06,9.33342E-07,9.82301E-07,1.12809E-06,9.39066E-07,3.13316E-06,1.02093E-06,9.99084E-07,9.94475E-07,9.96631E-07,1.04062E-06,9.44568E-07,1.14256E-06,1.09062E-06,1.04057E-06,1.04456E-06,1.1639E-06,9.90394E-07,1.00346E-06
