Case 01,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,2.30087E-06,1.91804E-06,1.91831E-06,1.91402E-06,1.91492E-06,1.91981E-06,1.92525E-06,1.92582E-06,1.91836E-06,1.92117E-06,1.92107E-06,1.92818E-06,1.92115E-06,1.92406E-06,1.92268E-06,1.92207E-06,1.9174E-06,1.96774E-06,1.99926E-06,1.91845E-06
Default setting 02,2.21045E-06,1.91363E-06,1.91465E-06,1.91249E-06,1.9363E-06,1.91767E-06,1.92186E-06,1.92175E-06,1.91824E-06,1.92211E-06,1.91927E-06,1.92362E-06,1.91975E-06,1.91456E-06,1.92334E-06,1.92339E-06,1.91699E-06,1.96962E-06,1.91829E-06,1.9182E-06
Default setting 03,2.20621E-06,1.91991E-06,1.91446E-06,1.91323E-06,1.93351E-06,1.92154E-06,1.91926E-06,1.93255E-06,1.91733E-06,1.9197E-06,1.91622E-06,1.92227E-06,1.91742E-06,1.91909E-06,1.92489E-06,1.92012E-06,1.91517E-06,1.96624E-06,1.92284E-06,1.91352E-06
Default setting 04,2.20821E-06,1.91599E-06,1.9143E-06,1.91649E-06,1.93105E-06,1.9165E-06,1.91818E-06,1.93163E-06,1.921E-06,1.9226E-06,1.93587E-06,1.92168E-06,1.9168E-06,1.91972E-06,2.01011E-06,1.92009E-06,1.92545E-06,1.96494E-06,2.01031E-06,1.91643E-06
Default setting 05,2.2077E-06,1.91949E-06,1.91434E-06,1.91877E-06,1.93314E-06,1.91758E-06,1.91888E-06,1.92886E-06,1.9156E-06,1.92107E-06,1.91658E-06,1.92084E-06,1.91839E-06,1.92362E-06,2.00991E-06,1.9208E-06,1.92598E-06,1.95895E-06,2.00979E-06,1.91621E-06
Default setting 06,2.204E-06,1.91745E-06,1.91572E-06,1.91523E-06,1.93283E-06,1.91715E-06,2.00507E-06,1.92634E-06,1.91652E-06,1.93514E-06,1.91979E-06,1.92605E-06,1.91679E-06,1.91654E-06,2.00965E-06,1.92132E-06,1.92185E-06,2.06554E-06,2.00718E-06,1.91557E-06
Default setting 07,2.20614E-06,1.91917E-06,1.91619E-06,1.91678E-06,1.92852E-06,1.92031E-06,2.00604E-06,1.92326E-06,1.91686E-06,1.91874E-06,1.93188E-06,1.9233E-06,1.91845E-06,1.91437E-06,2.00824E-06,1.92231E-06,1.92036E-06,2.06371E-06,2.04813E-06,1.91382E-06
Default setting 08,2.20548E-06,1.91897E-06,1.91149E-06,1.91441E-06,1.93027E-06,1.91882E-06,2.00461E-06,1.92318E-06,1.91692E-06,1.92039E-06,1.91782E-06,1.91856E-06,1.91861E-06,1.91033E-06,2.01077E-06,1.92048E-06,1.92138E-06,2.06455E-06,2.05908E-06,1.91382E-06
Default setting 09,2.20631E-06,1.91977E-06,1.91441E-06,1.91429E-06,1.93013E-06,1.92033E-06,2.00864E-06,1.92285E-06,1.91626E-06,1.9204E-06,1.91783E-06,1.92095E-06,1.92135E-06,1.90995E-06,2.01168E-06,1.91786E-06,1.9217E-06,2.06419E-06,2.05739E-06,2.00697E-06
Default setting 10,2.21404E-06,1.91834E-06,1.91362E-06,1.91444E-06,1.92483E-06,1.9192E-06,2.00777E-06,1.95202E-06,1.91654E-06,1.91964E-06,1.91768E-06,1.92112E-06,1.92208E-06,1.91398E-06,2.01106E-06,1.92079E-06,1.92039E-06,2.06616E-06,2.05728E-06,1.93767E-06
Default setting 11,2.20526E-06,1.92085E-06,1.91491E-06,1.91417E-06,1.9267E-06,1.91792E-06,2.00875E-06,1.92916E-06,1.91955E-06,1.92007E-06,1.91704E-06,1.9237E-06,1.92261E-06,1.91341E-06,2.0125E-06,1.92089E-06,1.92093E-06,2.06628E-06,2.05853E-06,1.91326E-06
Default setting 12,2.2068E-06,1.91755E-06,1.9141E-06,1.91276E-06,1.92932E-06,1.91754E-06,2.00752E-06,1.92651E-06,1.92042E-06,1.92053E-06,1.93389E-06,1.92205E-06,1.91852E-06,1.91118E-06,2.01148E-06,1.91716E-06,1.91908E-06,2.06415E-06,2.05964E-06,1.91168E-06
Default setting 13,2.22402E-06,1.92037E-06,1.91432E-06,1.91165E-06,1.93268E-06,1.9225E-06,2.01021E-06,1.92814E-06,1.91814E-06,1.91943E-06,1.91314E-06,1.92171E-06,1.91935E-06,1.9114E-06,2.01206E-06,1.91614E-06,1.91955E-06,2.06347E-06,2.06048E-06,1.91464E-06
Default setting 14,2.20029E-06,1.9187E-06,1.91538E-06,2.00921E-06,1.93242E-06,1.9188E-06,2.00802E-06,1.92383E-06,1.91922E-06,1.91865E-06,1.9138E-06,1.92266E-06,1.92263E-06,1.91652E-06,2.01031E-06,1.9194E-06,1.92022E-06,2.02829E-06,2.05861E-06,1.91251E-06
Default setting 15,2.19659E-06,1.92139E-06,1.91401E-06,2.00955E-06,1.93209E-06,1.91492E-06,2.00992E-06,1.92737E-06,1.91879E-06,1.91789E-06,1.91672E-06,1.92123E-06,1.92077E-06,1.91685E-06,1.9399E-06,1.91823E-06,1.92199E-06,2.01056E-06,2.06093E-06,1.90841E-06
Default setting 16,2.19647E-06,1.91596E-06,1.91131E-06,2.00648E-06,1.93389E-06,1.91396E-06,1.97821E-06,1.92578E-06,1.91906E-06,1.91461E-06,1.9164E-06,1.9221E-06,1.92011E-06,1.91127E-06,1.92113E-06,1.92012E-06,1.91789E-06,2.00919E-06,2.06074E-06,1.91407E-06
Default setting 17,2.19179E-06,1.92043E-06,1.9115E-06,2.00644E-06,1.93026E-06,1.91954E-06,1.9211E-06,1.92827E-06,1.9179E-06,1.92005E-06,1.91595E-06,1.9165E-06,1.92224E-06,1.90764E-06,1.91815E-06,1.91645E-06,1.91741E-06,2.00919E-06,2.06106E-06,1.91383E-06
Default setting 18,2.32792E-06,1.92187E-06,1.91336E-06,2.01145E-06,1.93303E-06,1.91237E-06,1.9101E-06,1.91958E-06,1.91702E-06,1.91711E-06,1.91749E-06,1.91293E-06,1.91539E-06,1.90888E-06,1.9197E-06,1.91566E-06,1.91851E-06,2.02868E-06,2.06042E-06,1.91153E-06
Default setting 19,2.19636E-06,1.91932E-06,1.91643E-06,2.00833E-06,1.91107E-06,1.91437E-06,1.91993E-06,1.92214E-06,1.91627E-06,1.93316E-06,1.91259E-06,1.91368E-06,1.91803E-06,1.90977E-06,1.91732E-06,1.91618E-06,1.91819E-06,2.0668E-06,2.06343E-06,1.91434E-06
