Case 18,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.79618E-06,1.78763E-06,1.74489E-06,1.70322E-06,1.70858E-06,1.73474E-06,1.71782E-06,1.72143E-06,1.74060E-06,1.72877E-06,1.72282E-06,1.72106E-06,1.72195E-06,1.71628E-06,1.72310E-06,1.72252E-06,1.73430E-06,1.92047E-06,1.70368E-06,1.70496E-06
Default setting 02,1.76537E-06,1.77595E-06,1.73682E-06,1.70986E-06,1.70761E-06,1.71939E-06,1.72436E-06,1.72141E-06,1.72547E-06,1.72399E-06,1.72529E-06,1.71615E-06,1.72526E-06,1.71008E-06,1.72270E-06,1.72032E-06,1.72315E-06,1.88838E-06,1.71037E-06,1.69607E-06
Default setting 03,1.76455E-06,1.77960E-06,1.73014E-06,1.71191E-06,1.70743E-06,1.72215E-06,1.71797E-06,1.72120E-06,1.73335E-06,1.72196E-06,1.72435E-06,1.71325E-06,1.72594E-06,1.71721E-06,1.72218E-06,1.72173E-06,1.71985E-06,1.75974E-06,1.70807E-06,1.70817E-06
Default setting 04,1.76176E-06,1.77846E-06,1.73237E-06,1.70841E-06,1.70632E-06,1.72150E-06,1.72357E-06,1.72244E-06,1.88263E-06,1.72242E-06,1.72801E-06,1.71861E-06,1.72207E-06,1.70847E-06,1.71964E-06,1.72004E-06,1.72606E-06,1.75799E-06,1.71162E-06,1.70972E-06
Default setting 05,1.76235E-06,1.78168E-06,1.73373E-06,1.70966E-06,1.70411E-06,1.72045E-06,1.72330E-06,1.72366E-06,1.81863E-06,1.72678E-06,1.72770E-06,1.71790E-06,1.72307E-06,1.71021E-06,1.72081E-06,1.71969E-06,1.72053E-06,1.75972E-06,1.71128E-06,1.70414E-06
Default setting 06,1.76447E-06,1.77780E-06,1.73154E-06,1.70766E-06,1.70316E-06,1.72125E-06,1.72238E-06,1.72496E-06,1.72182E-06,1.72695E-06,1.72696E-06,1.72144E-06,1.72179E-06,1.71437E-06,1.71957E-06,1.72053E-06,1.72854E-06,1.76339E-06,1.70944E-06,1.70902E-06
Default setting 07,1.76426E-06,1.77353E-06,1.73318E-06,1.70831E-06,1.70798E-06,1.71975E-06,1.72354E-06,1.72317E-06,1.72162E-06,1.72074E-06,1.72518E-06,1.72759E-06,1.72189E-06,1.71151E-06,1.72173E-06,1.72020E-06,1.72324E-06,1.75870E-06,1.71114E-06,1.70616E-06
Default setting 08,1.76207E-06,1.77973E-06,1.74478E-06,1.70594E-06,1.70847E-06,1.72546E-06,1.72581E-06,1.72335E-06,1.72375E-06,1.73090E-06,1.73067E-06,1.73122E-06,1.72204E-06,1.71480E-06,1.72391E-06,1.71711E-06,1.72007E-06,1.76116E-06,1.71048E-06,1.70451E-06
Default setting 09,1.76125E-06,1.77076E-06,1.74101E-06,1.71107E-06,1.70155E-06,1.72747E-06,1.72474E-06,1.72171E-06,1.73042E-06,1.72063E-06,1.73019E-06,1.72749E-06,1.72197E-06,1.71392E-06,1.72372E-06,1.71258E-06,1.71804E-06,1.76113E-06,1.71126E-06,1.71020E-06
Default setting 10,1.76045E-06,1.73974E-06,1.73957E-06,1.71140E-06,1.71050E-06,1.72451E-06,1.72266E-06,1.72360E-06,1.72875E-06,1.72944E-06,1.73026E-06,1.72428E-06,1.72066E-06,1.71262E-06,1.72204E-06,1.71945E-06,1.71615E-06,1.75630E-06,1.71798E-06,1.70926E-06
