Case 11,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.55948E-06,1.51476E-06,1.51284E-06,1.50895E-06,1.5139E-06,1.52856E-06,1.52668E-06,1.52279E-06,1.52791E-06,1.52257E-06,1.51767E-06,1.69265E-06,1.54016E-06,1.68049E-06,1.52357E-06,1.51554E-06,1.5202E-06,1.52355E-06,1.55595E-06,1.53124E-06
Default setting 02,1.55308E-06,1.5143E-06,1.5068E-06,1.50839E-06,1.51297E-06,1.52498E-06,1.51939E-06,1.51838E-06,1.51302E-06,1.52737E-06,1.51161E-06,1.68705E-06,1.52746E-06,1.67294E-06,1.52542E-06,1.68075E-06,1.52546E-06,1.52475E-06,1.55169E-06,1.53045E-06
Default setting 03,1.55718E-06,1.51354E-06,1.50885E-06,1.51059E-06,1.51309E-06,1.52312E-06,1.51694E-06,1.51918E-06,1.51451E-06,1.52379E-06,1.50869E-06,1.68831E-06,1.53591E-06,1.67672E-06,1.52606E-06,1.67721E-06,1.52436E-06,1.52723E-06,1.55216E-06,1.52553E-06
Default setting 04,1.55762E-06,1.51451E-06,1.50731E-06,1.51003E-06,1.51251E-06,1.51887E-06,1.5179E-06,1.51879E-06,1.5092E-06,1.52745E-06,1.52605E-06,1.68601E-06,1.53739E-06,1.67915E-06,1.51982E-06,1.67525E-06,1.52345E-06,1.52346E-06,1.55006E-06,1.52528E-06
Default setting 05,1.55421E-06,1.5137E-06,1.50957E-06,1.50799E-06,1.51373E-06,1.52406E-06,1.50962E-06,1.51444E-06,1.51386E-06,1.52317E-06,1.51341E-06,1.68895E-06,1.53927E-06,1.6738E-06,1.52633E-06,1.67645E-06,1.53051E-06,1.52508E-06,1.55631E-06,1.52753E-06
Default setting 06,1.55538E-06,1.51527E-06,1.50515E-06,1.50771E-06,1.51322E-06,1.5155E-06,1.5175E-06,1.52007E-06,1.50668E-06,1.51288E-06,1.51341E-06,1.68805E-06,1.53681E-06,1.67484E-06,1.52348E-06,1.67895E-06,1.52346E-06,1.52047E-06,1.55407E-06,1.52646E-06
Default setting 07,1.55621E-06,1.51174E-06,1.52065E-06,1.51682E-06,1.51809E-06,1.5137E-06,1.51155E-06,1.51872E-06,1.50693E-06,1.50985E-06,1.51181E-06,1.69234E-06,1.53752E-06,1.67278E-06,1.52239E-06,1.68204E-06,1.52148E-06,1.52289E-06,1.5534E-06,1.51564E-06
Default setting 08,1.56065E-06,1.51257E-06,1.52469E-06,1.51577E-06,1.5165E-06,1.51261E-06,1.51597E-06,1.52132E-06,1.51565E-06,1.50939E-06,1.51192E-06,1.69186E-06,1.53284E-06,1.67142E-06,1.52537E-06,1.67789E-06,1.52244E-06,1.52122E-06,1.55937E-06,1.51681E-06
Default setting 09,1.55614E-06,1.51307E-06,1.52312E-06,1.51934E-06,1.5213E-06,1.51962E-06,1.51655E-06,1.51831E-06,1.51174E-06,1.50856E-06,1.51142E-06,1.69761E-06,1.53016E-06,1.66891E-06,1.52394E-06,1.6816E-06,1.52164E-06,1.52029E-06,1.55356E-06,1.5137E-06
Default setting 10,1.54929E-06,1.51182E-06,1.52307E-06,1.51805E-06,1.52024E-06,1.51593E-06,1.51143E-06,1.51335E-06,1.51434E-06,1.50935E-06,1.51216E-06,1.69028E-06,1.52829E-06,1.67242E-06,1.52346E-06,1.67781E-06,1.52195E-06,1.52146E-06,1.55428E-06,1.52789E-06
