Case 09,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,9.00952E-07,8.91791E-07,8.95699E-07,8.93681E-07,8.96088E-07,8.92999E-07,8.91885E-07,9.07474E-07,8.93893E-07,8.92264E-07,8.9684E-07,9.05887E-07,8.96612E-07,8.96954E-07,8.99103E-07,8.95639E-07,8.9234E-07,8.9695E-07,8.95389E-07,8.94959E-07
Default setting 02,8.96066E-07,8.94626E-07,8.94752E-07,8.94413E-07,8.9631E-07,8.96598E-07,8.94682E-07,8.95284E-07,8.94475E-07,8.95653E-07,8.96366E-07,9.05683E-07,8.94669E-07,9.00487E-07,8.95968E-07,8.96193E-07,8.921E-07,8.95198E-07,8.94345E-07,8.96871E-07
Default setting 03,8.99698E-07,8.93803E-07,8.93051E-07,8.93943E-07,8.9508E-07,8.95472E-07,8.95574E-07,8.93494E-07,8.92683E-07,8.92434E-07,8.91668E-07,9.07405E-07,8.96011E-07,8.99763E-07,8.96979E-07,8.93501E-07,8.92357E-07,8.94534E-07,8.9764E-07,8.9781E-07
Default setting 04,9.00102E-07,8.94507E-07,8.93558E-07,8.93401E-07,8.91121E-07,8.94779E-07,8.91194E-07,8.93807E-07,8.93064E-07,8.96435E-07,8.91026E-07,9.06792E-07,8.96138E-07,8.97336E-07,9.01895E-07,8.95896E-07,8.91681E-07,8.96164E-07,8.95194E-07,8.94436E-07
Default setting 05,8.95912E-07,8.9251E-07,8.93032E-07,8.9558E-07,8.94688E-07,8.92218E-07,8.90121E-07,8.97099E-07,8.96608E-07,8.93413E-07,8.97676E-07,9.06761E-07,8.94471E-07,8.98759E-07,8.97133E-07,8.97876E-07,8.91673E-07,8.95181E-07,8.9741E-07,8.95531E-07
Default setting 06,8.95557E-07,8.93607E-07,8.92459E-07,8.94396E-07,8.92084E-07,8.93506E-07,8.90861E-07,8.93731E-07,8.96088E-07,8.928E-07,8.94907E-07,9.07129E-07,8.94619E-07,8.99389E-07,8.99481E-07,8.95088E-07,8.92475E-07,8.94995E-07,9.0011E-07,8.96351E-07
Default setting 07,8.95102E-07,8.94528E-07,8.9246E-07,8.89728E-07,8.90249E-07,8.94877E-07,9.02797E-07,8.91495E-07,8.91731E-07,8.91416E-07,8.95341E-07,9.08358E-07,8.92684E-07,8.99999E-07,8.97827E-07,8.96303E-07,8.96603E-07,8.95954E-07,8.98546E-07,8.96135E-07
Default setting 08,8.97607E-07,8.92687E-07,8.92419E-07,8.93361E-07,8.92885E-07,8.93597E-07,9.05378E-07,8.93216E-07,8.92669E-07,8.96954E-07,9.06769E-07,9.07033E-07,8.95879E-07,9.00199E-07,8.99594E-07,8.95633E-07,8.94638E-07,8.94643E-07,8.95806E-07,8.98287E-07
Default setting 09,8.96532E-07,8.93675E-07,8.92761E-07,8.95638E-07,8.93661E-07,8.93577E-07,9.06799E-07,8.95347E-07,8.92372E-07,8.95732E-07,9.05932E-07,9.09537E-07,8.95822E-07,8.98604E-07,8.97602E-07,8.96223E-07,8.9652E-07,8.96033E-07,8.95817E-07,8.97452E-07
Default setting 10,8.95938E-07,8.95536E-07,8.94035E-07,8.92635E-07,8.93497E-07,8.9507E-07,9.06483E-07,8.93278E-07,8.92177E-07,8.96945E-07,9.06146E-07,8.94639E-07,8.94367E-07,8.98758E-07,8.96925E-07,8.96679E-07,8.95714E-07,8.94553E-07,8.97782E-07,8.95767E-07
Default setting 11,8.94584E-07,8.93946E-07,8.92842E-07,8.94176E-07,8.95487E-07,8.95879E-07,9.05246E-07,8.93446E-07,8.9165E-07,8.94836E-07,9.069E-07,8.94712E-07,8.93853E-07,9.00703E-07,8.96439E-07,8.91871E-07,8.9415E-07,8.95924E-07,8.96279E-07,8.95593E-07
Default setting 12,8.97293E-07,8.91318E-07,8.93035E-07,8.90462E-07,8.92834E-07,8.95813E-07,9.07917E-07,8.94816E-07,8.94741E-07,8.94359E-07,9.06334E-07,8.93513E-07,8.95676E-07,8.99162E-07,8.97903E-07,8.94518E-07,8.94871E-07,8.96465E-07,8.94379E-07,8.96605E-07
Default setting 13,8.99145E-07,8.933E-07,8.93496E-07,8.9334E-07,8.9107E-07,8.93273E-07,9.04402E-07,8.96087E-07,8.96024E-07,8.93714E-07,9.05973E-07,8.91641E-07,8.9676E-07,8.99044E-07,8.97873E-07,8.97263E-07,8.93032E-07,8.94556E-07,8.96637E-07,8.97461E-07
Default setting 14,8.9849E-07,8.96558E-07,8.91906E-07,8.94432E-07,8.89768E-07,8.94311E-07,9.06013E-07,8.93144E-07,8.98654E-07,8.92429E-07,9.04987E-07,8.93996E-07,8.94301E-07,8.97227E-07,8.97211E-07,8.9682E-07,8.94839E-07,8.97391E-07,8.96119E-07,8.97408E-07
Default setting 15,8.97324E-07,8.93743E-07,8.91587E-07,8.91937E-07,8.90185E-07,8.97195E-07,9.05666E-07,8.94821E-07,8.9404E-07,8.90775E-07,9.04933E-07,8.93081E-07,8.94928E-07,8.95553E-07,8.95741E-07,8.94814E-07,8.9198E-07,8.96726E-07,8.9568E-07,8.95795E-07
Default setting 16,8.97301E-07,8.9264E-07,8.9248E-07,8.89642E-07,8.91393E-07,8.98061E-07,9.08487E-07,8.96127E-07,8.91184E-07,8.94363E-07,9.03507E-07,8.89414E-07,8.94749E-07,8.98255E-07,8.97688E-07,8.94971E-07,8.93505E-07,8.92877E-07,8.96748E-07,8.96453E-07
Default setting 17,8.97151E-07,8.93485E-07,8.92208E-07,8.97264E-07,8.9004E-07,8.95613E-07,9.07152E-07,8.9584E-07,8.9301E-07,8.95991E-07,9.06592E-07,8.91216E-07,8.92302E-07,8.98303E-07,8.97134E-07,8.96134E-07,8.96066E-07,8.97778E-07,8.9612E-07,8.95691E-07
Default setting 18,9.04467E-07,8.93722E-07,8.9292E-07,8.92873E-07,8.92197E-07,8.91125E-07,9.08233E-07,8.94054E-07,8.94276E-07,8.92322E-07,9.07597E-07,8.94064E-07,8.92594E-07,8.98545E-07,8.955E-07,8.96561E-07,8.94799E-07,8.9465E-07,8.95926E-07,8.94481E-07
Default setting 19,9.10804E-07,8.94657E-07,8.9205E-07,8.90111E-07,8.89366E-07,8.939E-07,9.05125E-07,8.94492E-07,8.94516E-07,8.9188E-07,9.05243E-07,8.9564E-07,8.96471E-07,8.98052E-07,9.20982E-07,8.95548E-07,8.94152E-07,8.95772E-07,8.95629E-07,8.95965E-07
Default setting 20,9.10576E-07,8.93919E-07,8.92917E-07,8.93204E-07,8.92918E-07,8.94843E-07,9.07152E-07,8.9898E-07,8.93683E-07,8.91842E-07,9.04376E-07,8.91804E-07,8.95166E-07,8.98814E-07,8.95436E-07,8.97797E-07,8.95679E-07,8.96027E-07,8.99739E-07,8.98839E-07
Amortise opt. 01,1.07315E-06,8.92897E-07,8.7011E-07,8.24331E-07,1.03668E-06,1.10439E-06,1.03999E-06,1.13497E-06,3.20533E-06,8.77041E-07,8.95545E-07,8.75264E-07,1.09887E-06,9.61084E-07,1.16734E-06,1.08151E-06,1.00143E-06,1.06445E-06,1.01036E-06,9.02119E-07
Amortise opt. 02,1.04548E-06,8.98794E-07,8.73694E-07,8.34025E-07,1.03974E-06,8.74121E-07,1.03507E-06,1.13871E-06,1.00593E-06,1.05867E-06,4.29226E-06,1.08745E-06,8.79063E-07,8.5879E-07,9.77063E-07,8.86265E-07,1.05936E-06,1.08597E-06,1.01722E-06,1.06692E-06
Amortise opt. 03,1.06803E-06,8.9047E-07,8.67102E-07,9.94072E-07,1.03299E-06,1.08557E-06,8.81721E-07,1.11957E-06,3.17444E-06,1.13665E-06,8.81985E-07,8.66612E-07,1.05914E-06,1.60077E-06,9.71952E-07,1.08056E-06,9.79046E-07,8.60076E-07,1.00112E-06,1.08017E-06
Amortise opt. 04,1.04734E-06,8.91267E-07,8.66383E-07,8.44559E-07,1.02897E-06,8.75465E-07,8.79195E-07,1.12285E-06,1.09057E-06,1.03579E-06,8.78386E-07,8.61469E-07,8.75744E-07,8.55628E-07,9.69695E-07,8.83905E-07,9.85108E-07,8.59941E-07,1.00959E-06,1.064E-06
Amortise opt. 05,1.0554E-06,8.90784E-07,8.66212E-07,8.4562E-07,1.02832E-06,1.09105E-06,1.02696E-06,1.13693E-06,1.0388E-06,1.04598E-06,8.82641E-07,8.77019E-07,1.09827E-06,8.74121E-07,9.72848E-07,8.87559E-07,1.00087E-06,1.06217E-06,1.01177E-06,1.07388E-06
Amortise opt. 06,1.078E-06,1.04265E-06,8.66427E-07,8.37338E-07,1.03403E-06,1.10651E-06,1.10294E-06,1.13835E-06,3.21244E-06,1.03073E-06,1.11506E-06,8.49901E-07,1.09448E-06,9.62323E-07,9.82626E-07,1.08599E-06,9.79466E-07,8.44552E-07,1.01172E-06,1.01726E-06
Amortise opt. 07,1.06814E-06,8.85741E-07,8.66983E-07,8.3787E-07,1.03135E-06,1.32785E-06,1.08755E-06,1.09323E-06,1.01217E-06,1.03184E-06,4.2861E-06,8.54622E-07,1.07159E-06,1.0271E-06,9.71873E-07,8.83161E-07,9.88086E-07,8.4008E-07,1.00169E-06,1.01628E-06
Amortise opt. 08,1.07566E-06,1.02071E-06,1.00348E-06,8.40342E-07,8.87366E-07,1.11723E-06,1.11481E-06,1.10103E-06,1.02303E-06,1.03534E-06,4.34151E-06,8.61796E-07,1.28115E-06,1.54922E-06,9.77432E-07,1.05342E-06,9.80791E-07,8.61367E-07,9.97645E-07,1.01242E-06
