Case 06,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.70874E-06,1.70624E-06,1.69623E-06,1.6881E-06,1.68147E-06,1.69653E-06,1.70332E-06,1.69282E-06,1.70734E-06,1.71056E-06,1.70063E-06,1.69714E-06,1.69266E-06,1.87172E-06,1.70522E-06,1.87746E-06,1.70491E-06,1.70974E-06,1.70498E-06,1.70329E-06
Default setting 02,1.70506E-06,1.69739E-06,1.69341E-06,1.68331E-06,1.68374E-06,1.69517E-06,1.70085E-06,1.69383E-06,1.70807E-06,1.71097E-06,1.70226E-06,1.69063E-06,1.69074E-06,1.87043E-06,1.69921E-06,1.87589E-06,1.70076E-06,1.70712E-06,1.70572E-06,1.70324E-06
Default setting 03,1.70548E-06,1.70037E-06,1.69462E-06,1.68665E-06,1.69004E-06,1.6924E-06,1.70186E-06,1.69544E-06,1.71581E-06,1.70951E-06,1.70151E-06,1.69238E-06,1.69218E-06,1.87006E-06,1.70016E-06,1.8689E-06,1.70203E-06,1.70454E-06,1.70211E-06,1.70155E-06
Default setting 04,1.70407E-06,1.69619E-06,1.69421E-06,1.68707E-06,1.68457E-06,1.69556E-06,1.6976E-06,1.69471E-06,1.71449E-06,1.70848E-06,1.69931E-06,1.69121E-06,1.6904E-06,1.86942E-06,1.70018E-06,1.83418E-06,1.70206E-06,1.70358E-06,1.70208E-06,1.70316E-06
Default setting 05,1.70368E-06,1.69503E-06,1.69353E-06,1.68294E-06,1.68449E-06,1.69473E-06,1.70036E-06,1.69521E-06,1.71428E-06,1.70704E-06,1.70208E-06,1.69036E-06,1.69532E-06,1.86728E-06,1.70212E-06,1.83435E-06,1.70209E-06,1.70385E-06,1.70259E-06,1.70838E-06
Default setting 06,1.70118E-06,1.69293E-06,1.6952E-06,1.68648E-06,1.68429E-06,1.69832E-06,1.70144E-06,1.68812E-06,1.71239E-06,1.70835E-06,1.70486E-06,1.69414E-06,1.69013E-06,1.86886E-06,1.70397E-06,1.82901E-06,1.70268E-06,1.70222E-06,1.70335E-06,1.70959E-06
Default setting 07,1.69693E-06,1.69739E-06,1.69336E-06,1.68965E-06,1.68433E-06,1.70562E-06,1.69869E-06,1.69041E-06,1.71901E-06,1.70817E-06,1.7091E-06,1.68776E-06,1.69252E-06,1.86801E-06,1.7028E-06,1.83032E-06,1.70198E-06,1.70346E-06,1.70171E-06,1.70908E-06
Default setting 08,1.69501E-06,1.69747E-06,1.69632E-06,1.68679E-06,1.68694E-06,1.69975E-06,1.70174E-06,1.68826E-06,1.71525E-06,1.70859E-06,1.70588E-06,1.69122E-06,1.69159E-06,1.87045E-06,1.7002E-06,1.83119E-06,1.70358E-06,1.70536E-06,1.70102E-06,1.70705E-06
Default setting 09,1.6966E-06,1.70157E-06,1.69336E-06,1.68644E-06,1.685E-06,1.70001E-06,1.70044E-06,1.69032E-06,1.85884E-06,1.70773E-06,1.70499E-06,1.69089E-06,1.68854E-06,1.86749E-06,1.69775E-06,1.83541E-06,1.70089E-06,1.7063E-06,1.70135E-06,1.70699E-06
Default setting 10,1.69717E-06,1.69598E-06,1.69456E-06,1.68798E-06,1.68677E-06,1.70177E-06,1.70304E-06,1.69114E-06,1.75708E-06,1.71265E-06,1.70364E-06,1.69029E-06,1.70405E-06,1.86936E-06,1.69988E-06,1.87372E-06,1.70186E-06,1.7067E-06,1.7018E-06,1.70345E-06
Default setting 11,1.6958E-06,1.69584E-06,1.69335E-06,1.68808E-06,1.67753E-06,1.69067E-06,1.70094E-06,1.69097E-06,1.74276E-06,1.70187E-06,1.70375E-06,1.69136E-06,1.70207E-06,1.8679E-06,1.69865E-06,1.872E-06,1.70686E-06,1.70507E-06,1.7036E-06,1.70154E-06
