Case 10,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.53927E-06,1.49841E-06,1.49687E-06,1.5145E-06,1.51467E-06,1.50916E-06,1.68811E-06,1.49452E-06,1.48759E-06,1.48242E-06,1.65173E-06,1.50438E-06,1.49403E-06,1.50336E-06,1.49961E-06,1.50821E-06,1.51135E-06,1.49426E-06,1.52856E-06,1.64621E-06
Default setting 02,1.49065E-06,1.49426E-06,1.49074E-06,1.5107E-06,1.51538E-06,1.50616E-06,1.68752E-06,1.4907E-06,1.48702E-06,1.48469E-06,1.64643E-06,1.49725E-06,1.49498E-06,1.49017E-06,1.50127E-06,1.49309E-06,1.51078E-06,1.49302E-06,1.52721E-06,1.64454E-06
Default setting 03,1.49141E-06,1.49101E-06,1.49564E-06,1.51001E-06,1.51236E-06,1.5066E-06,1.68306E-06,1.49408E-06,1.48529E-06,1.4834E-06,1.61426E-06,1.49776E-06,1.49383E-06,1.48971E-06,1.49569E-06,1.48576E-06,1.51263E-06,1.493E-06,1.52652E-06,1.64096E-06
Default setting 04,1.49239E-06,1.49362E-06,1.49942E-06,1.51267E-06,1.51265E-06,1.50677E-06,1.69013E-06,1.4894E-06,1.48653E-06,1.50284E-06,1.48507E-06,1.49794E-06,1.49133E-06,1.4864E-06,1.49411E-06,1.49103E-06,1.50936E-06,1.48946E-06,1.53418E-06,1.64581E-06
Default setting 05,1.49056E-06,1.48933E-06,1.49401E-06,1.51205E-06,1.51143E-06,1.50976E-06,1.68316E-06,1.58657E-06,1.48605E-06,1.51476E-06,1.48644E-06,1.50287E-06,1.49511E-06,1.49437E-06,1.49769E-06,1.48978E-06,1.51186E-06,1.48855E-06,1.52767E-06,1.67024E-06
Default setting 06,1.48993E-06,1.49218E-06,1.49609E-06,1.51144E-06,1.5119E-06,1.50906E-06,1.6863E-06,1.65427E-06,1.48505E-06,1.51682E-06,1.48777E-06,1.49887E-06,1.49661E-06,1.48805E-06,1.49918E-06,1.48821E-06,1.50201E-06,1.48766E-06,1.5232E-06,1.67623E-06
Default setting 07,1.48345E-06,1.49743E-06,1.48863E-06,1.5048E-06,1.50561E-06,1.51077E-06,1.67819E-06,1.65421E-06,1.48272E-06,1.51484E-06,1.49692E-06,1.49706E-06,1.49564E-06,1.4884E-06,1.49739E-06,1.4885E-06,1.5054E-06,1.47998E-06,1.52494E-06,1.68874E-06
Default setting 08,1.48303E-06,1.49733E-06,1.48881E-06,1.50645E-06,1.50574E-06,1.50947E-06,1.68541E-06,1.65135E-06,1.48587E-06,1.51753E-06,1.49542E-06,1.50183E-06,1.49275E-06,1.48778E-06,1.49158E-06,1.48839E-06,1.49939E-06,1.48231E-06,1.52224E-06,1.67727E-06
Default setting 09,1.4834E-06,1.49702E-06,1.48575E-06,1.5073E-06,1.50577E-06,1.50932E-06,1.67854E-06,1.59797E-06,1.48072E-06,1.51678E-06,1.49333E-06,1.50403E-06,1.49081E-06,1.4883E-06,1.49542E-06,1.48687E-06,1.4987E-06,1.48243E-06,1.5218E-06,1.68125E-06
Default setting 10,1.4832E-06,1.48885E-06,1.48846E-06,1.50351E-06,1.50131E-06,1.49243E-06,1.65807E-06,1.50036E-06,1.48647E-06,1.51398E-06,1.487E-06,1.50254E-06,1.4944E-06,1.48679E-06,1.49006E-06,1.48796E-06,1.50065E-06,1.48663E-06,1.51216E-06,1.67664E-06
