Case 17,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,7.82034E-07,7.91805E-07,8.36763E-07,8.08079E-07,7.33780E-07,7.85172E-07,7.86534E-07,7.95302E-07,8.53839E-07,8.08249E-07,8.85255E-07,8.51673E-07,7.94150E-07,7.94332E-07,7.93786E-07,7.93752E-07,7.73216E-07,7.76018E-07,7.79018E-07,7.95267E-07
Default setting 02,8.01490E-07,7.90223E-07,7.88851E-07,8.08906E-07,7.34348E-07,7.87331E-07,7.87504E-07,7.91349E-07,8.55476E-07,8.12653E-07,8.92130E-07,8.51405E-07,7.93131E-07,7.93122E-07,7.92533E-07,7.92410E-07,7.76230E-07,7.72228E-07,7.79269E-07,7.92861E-07
Default setting 03,8.10947E-07,7.93324E-07,7.92553E-07,8.08951E-07,7.31831E-07,7.86250E-07,7.88776E-07,7.95330E-07,8.53925E-07,8.12259E-07,8.94610E-07,8.54438E-07,7.92927E-07,7.97515E-07,7.92544E-07,7.93265E-07,7.77593E-07,7.76327E-07,7.75228E-07,7.95246E-07
Default setting 04,7.94557E-07,7.91597E-07,7.89894E-07,8.09433E-07,7.34624E-07,7.86947E-07,7.86579E-07,7.91833E-07,8.54429E-07,8.15397E-07,8.91045E-07,8.48694E-07,7.91633E-07,7.92998E-07,7.91928E-07,7.96042E-07,7.72851E-07,7.78020E-07,7.73663E-07,7.95004E-07
Default setting 05,7.93391E-07,7.92544E-07,8.28950E-07,8.09537E-07,7.39244E-07,7.86513E-07,7.89410E-07,7.89882E-07,8.56521E-07,8.10097E-07,8.93490E-07,8.44981E-07,7.93921E-07,7.99007E-07,7.95921E-07,7.94848E-07,7.74526E-07,7.76270E-07,7.72783E-07,7.97852E-07
Default setting 06,7.94152E-07,7.94328E-07,8.56868E-07,8.10005E-07,7.40526E-07,7.88954E-07,7.88306E-07,7.92458E-07,8.57118E-07,8.11145E-07,8.91968E-07,7.94546E-07,7.96293E-07,7.93189E-07,7.92680E-07,8.00377E-07,7.72566E-07,7.76115E-07,7.74854E-07,7.96584E-07
Default setting 07,7.86549E-07,7.92690E-07,8.54134E-07,8.08270E-07,7.36415E-07,7.89678E-07,7.86902E-07,7.91040E-07,8.55209E-07,8.11840E-07,8.70504E-07,7.94531E-07,7.94521E-07,7.94643E-07,7.96525E-07,7.94100E-07,8.40521E-07,7.73426E-07,7.78264E-07,7.92079E-07
Default setting 08,7.92339E-07,7.93892E-07,8.55422E-07,8.09436E-07,7.37829E-07,7.91307E-07,7.87000E-07,7.91513E-07,8.56791E-07,8.10444E-07,8.27234E-07,7.92489E-07,7.93442E-07,7.94973E-07,7.93871E-07,7.92668E-07,8.31386E-07,7.77880E-07,7.77331E-07,7.97408E-07
Default setting 09,7.95506E-07,7.98021E-07,8.54732E-07,8.09901E-07,7.37761E-07,7.90726E-07,7.87154E-07,7.90392E-07,8.53597E-07,8.09901E-07,8.28242E-07,7.94559E-07,7.94741E-07,7.94003E-07,7.97180E-07,7.94391E-07,8.39049E-07,7.71013E-07,7.78791E-07,8.05707E-07
Default setting 10,7.98239E-07,7.92358E-07,8.66105E-07,8.11926E-07,7.39029E-07,7.92003E-07,7.89576E-07,7.92583E-07,8.53846E-07,8.09326E-07,8.11673E-07,7.92725E-07,7.92541E-07,7.94924E-07,7.93768E-07,7.94113E-07,8.09078E-07,7.70959E-07,7.75410E-07,8.09002E-07
Default setting 11,7.89036E-07,7.92437E-07,8.69988E-07,8.12237E-07,7.37244E-07,7.87645E-07,7.88000E-07,7.89500E-07,8.55997E-07,8.09433E-07,8.09529E-07,7.93928E-07,7.94057E-07,7.94527E-07,7.94545E-07,7.96103E-07,7.78488E-07,7.74238E-07,7.76401E-07,8.10991E-07
