Case 08,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.03454E-06,1.03527E-06,1.03835E-06,1.03714E-06,1.04774E-06,1.04768E-06,1.04304E-06,1.03556E-06,1.03323E-06,1.03256E-06,1.03455E-06,1.11301E-06,1.03567E-06,1.03835E-06,1.03787E-06,1.03337E-06,1.04881E-06,1.04708E-06,1.03287E-06,1.03709E-06
Default setting 02,1.03095E-06,1.03393E-06,1.03778E-06,1.03553E-06,1.04773E-06,1.03719E-06,1.03485E-06,1.03471E-06,1.03304E-06,1.03199E-06,1.03428E-06,1.11197E-06,1.03685E-06,1.0393E-06,1.03808E-06,1.03305E-06,1.04884E-06,1.04685E-06,1.03119E-06,1.03654E-06
Default setting 03,1.03376E-06,1.0334E-06,1.03884E-06,1.03491E-06,1.04706E-06,1.03313E-06,1.03492E-06,1.03425E-06,1.03315E-06,1.03229E-06,1.03406E-06,1.11339E-06,1.03554E-06,1.03848E-06,1.03612E-06,1.0332E-06,1.04884E-06,1.04725E-06,1.03374E-06,1.0359E-06
Default setting 04,1.03267E-06,1.03531E-06,1.0395E-06,1.03417E-06,1.04349E-06,1.03416E-06,1.03297E-06,1.03527E-06,1.033E-06,1.03287E-06,1.03205E-06,1.07896E-06,1.03742E-06,1.03904E-06,1.03977E-06,1.03329E-06,1.04977E-06,1.04716E-06,1.03137E-06,1.03632E-06
Default setting 05,1.03306E-06,1.03568E-06,1.04092E-06,1.03386E-06,1.03321E-06,1.03359E-06,1.03401E-06,1.03741E-06,1.03468E-06,1.03183E-06,1.03354E-06,1.04664E-06,1.03813E-06,1.03816E-06,1.03729E-06,1.03331E-06,1.04906E-06,1.04836E-06,1.0343E-06,1.03721E-06
Default setting 06,1.03339E-06,1.03364E-06,1.03938E-06,1.03578E-06,1.03328E-06,1.03265E-06,1.04992E-06,1.03611E-06,1.03339E-06,1.03261E-06,1.03442E-06,1.04551E-06,1.03978E-06,1.03633E-06,1.03855E-06,1.03406E-06,1.0501E-06,1.04674E-06,1.03296E-06,1.03688E-06
Default setting 07,1.03231E-06,1.03436E-06,1.03832E-06,1.03567E-06,1.03357E-06,1.03586E-06,1.0502E-06,1.03616E-06,1.03179E-06,1.03251E-06,1.03439E-06,1.04703E-06,1.03792E-06,1.03836E-06,1.0358E-06,1.0351E-06,1.05009E-06,1.04704E-06,1.03304E-06,1.03777E-06
Default setting 08,1.03276E-06,1.03486E-06,1.0394E-06,1.03421E-06,1.03303E-06,1.03366E-06,1.04696E-06,1.03447E-06,1.03948E-06,1.03234E-06,1.03504E-06,1.04746E-06,1.03612E-06,1.03697E-06,1.03742E-06,1.03468E-06,1.04867E-06,1.04702E-06,1.03252E-06,1.03662E-06
Default setting 09,1.03184E-06,1.03353E-06,1.03874E-06,1.03484E-06,1.03494E-06,1.03353E-06,1.04629E-06,1.03356E-06,1.04733E-06,1.03399E-06,1.03409E-06,1.04867E-06,1.03827E-06,1.03677E-06,1.03764E-06,1.03619E-06,1.04852E-06,1.03041E-06,1.03376E-06,1.03657E-06
Default setting 10,1.03272E-06,1.03458E-06,1.03903E-06,1.03563E-06,1.03804E-06,1.03417E-06,1.04794E-06,1.03433E-06,1.04683E-06,1.03136E-06,1.03322E-06,1.04842E-06,1.03711E-06,1.03845E-06,1.03735E-06,1.03378E-06,1.04785E-06,1.03375E-06,1.03219E-06,1.03667E-06
Default setting 11,1.03205E-06,1.03519E-06,1.03937E-06,1.03459E-06,1.03314E-06,1.03363E-06,1.04793E-06,1.03467E-06,1.04736E-06,1.03067E-06,1.0351E-06,1.04859E-06,1.03745E-06,1.03803E-06,1.03893E-06,1.03447E-06,1.04729E-06,1.03333E-06,1.03618E-06,1.03651E-06
Default setting 12,1.03232E-06,1.03612E-06,1.03918E-06,1.03396E-06,1.03398E-06,1.0342E-06,1.04785E-06,1.03422E-06,1.04807E-06,1.03394E-06,1.03427E-06,1.04838E-06,1.0367E-06,1.03605E-06,1.03839E-06,1.0335E-06,1.04048E-06,1.0321E-06,1.03352E-06,1.03553E-06
Default setting 13,1.03135E-06,1.03385E-06,1.03869E-06,1.03422E-06,1.033E-06,1.0341E-06,1.04953E-06,1.03461E-06,1.04827E-06,1.03457E-06,1.0335E-06,1.04936E-06,1.0356E-06,1.03647E-06,1.03991E-06,1.034E-06,1.03421E-06,1.03325E-06,1.03595E-06,1.0363E-06
