Case 14,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.50150E-06,1.37785E-06,1.37707E-06,1.37641E-06,1.40740E-06,1.42725E-06,1.37787E-06,1.42621E-06,1.46309E-06,1.37654E-06,1.37980E-06,1.37723E-06,1.37566E-06,1.42589E-06,1.38024E-06,1.37803E-06,1.37870E-06,1.37346E-06,1.37825E-06,1.38269E-06
Default setting 02,1.49912E-06,1.37544E-06,1.37167E-06,1.37383E-06,1.37357E-06,1.37422E-06,1.37444E-06,1.44449E-06,1.40655E-06,1.37720E-06,1.37296E-06,1.37511E-06,1.37444E-06,1.42166E-06,1.37737E-06,1.37678E-06,1.37307E-06,1.37787E-06,1.37495E-06,1.38018E-06
Default setting 03,1.49377E-06,1.37268E-06,1.37333E-06,1.37474E-06,1.37282E-06,1.37755E-06,1.37603E-06,1.45899E-06,1.38257E-06,1.37326E-06,1.37230E-06,1.37767E-06,1.37390E-06,1.42214E-06,1.37273E-06,1.37353E-06,1.37516E-06,1.37873E-06,1.37785E-06,1.38053E-06
Default setting 04,1.49200E-06,1.37198E-06,1.37122E-06,1.37720E-06,1.37324E-06,1.37410E-06,1.37296E-06,1.45978E-06,1.37100E-06,1.38111E-06,1.37143E-06,1.37570E-06,1.37298E-06,1.42221E-06,1.37788E-06,1.37465E-06,1.37494E-06,1.37619E-06,1.37448E-06,1.37970E-06
Default setting 05,1.49236E-06,1.37309E-06,1.37180E-06,1.37286E-06,1.37365E-06,1.37507E-06,1.37355E-06,1.45805E-06,1.37545E-06,1.38324E-06,1.37114E-06,1.37289E-06,1.37263E-06,1.42139E-06,1.37247E-06,1.37730E-06,1.37390E-06,1.37422E-06,1.37644E-06,1.38340E-06
Default setting 06,1.49220E-06,1.37237E-06,1.37239E-06,1.37768E-06,1.37397E-06,1.37178E-06,1.37297E-06,1.46091E-06,1.37486E-06,1.37766E-06,1.37387E-06,1.37683E-06,1.37241E-06,1.42235E-06,1.37488E-06,1.39483E-06,1.37431E-06,1.37272E-06,1.37713E-06,1.37805E-06
Default setting 07,1.49356E-06,1.37120E-06,1.37306E-06,1.37408E-06,1.37441E-06,1.37432E-06,1.37732E-06,1.45834E-06,1.37958E-06,1.37934E-06,1.37783E-06,1.37382E-06,1.37411E-06,1.42199E-06,1.37239E-06,1.40731E-06,1.37515E-06,1.37619E-06,1.37669E-06,1.38186E-06
Default setting 08,1.49420E-06,1.37127E-06,1.37552E-06,1.37535E-06,1.37751E-06,1.37934E-06,1.37678E-06,1.45685E-06,1.37770E-06,1.38177E-06,1.37376E-06,1.37890E-06,1.37332E-06,1.42209E-06,1.37394E-06,1.40783E-06,1.37592E-06,1.37745E-06,1.37775E-06,1.38138E-06
Default setting 09,1.49916E-06,1.37163E-06,1.37362E-06,1.37779E-06,1.37690E-06,1.37549E-06,1.37614E-06,1.45018E-06,1.37895E-06,1.38009E-06,1.37700E-06,1.37295E-06,1.37738E-06,1.42248E-06,1.37724E-06,1.40631E-06,1.37992E-06,1.37267E-06,1.37480E-06,1.38291E-06
Default setting 10,1.49343E-06,1.37238E-06,1.37866E-06,1.37734E-06,1.37816E-06,1.37715E-06,1.37303E-06,1.42267E-06,1.37529E-06,1.38070E-06,1.37668E-06,1.37748E-06,1.37776E-06,1.42209E-06,1.37750E-06,1.40545E-06,1.37989E-06,1.37327E-06,1.38034E-06,1.38418E-06
