Case 01,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.00808E-06,1.05891E-06,9.73808E-07,9.62668E-07,1.04969E-06,9.62454E-07,1.04992E-06,9.64733E-07,9.61789E-07,9.62502E-07,9.60472E-07,1.02479E-06,1.02968E-06,1.02554E-06,9.60361E-07,9.6105E-07,9.75546E-07,9.59979E-07,9.57665E-07,9.60702E-07
Default setting 02,9.95304E-07,1.05999E-06,9.7857E-07,9.61125E-07,1.04849E-06,9.59299E-07,1.04963E-06,9.6399E-07,9.5936E-07,9.59933E-07,9.58552E-07,1.0236E-06,1.02732E-06,1.0233E-06,9.57602E-07,9.56818E-07,9.75303E-07,9.57914E-07,9.59656E-07,9.59854E-07
Default setting 03,9.79949E-07,1.05939E-06,9.75152E-07,9.58424E-07,1.04735E-06,9.58887E-07,1.04681E-06,1.03069E-06,9.5908E-07,9.59372E-07,9.59712E-07,1.02623E-06,1.02631E-06,1.02714E-06,9.58633E-07,9.5638E-07,9.73196E-07,9.58173E-07,9.57831E-07,9.60449E-07
Default setting 04,9.72944E-07,1.0595E-06,9.75379E-07,9.59045E-07,1.03893E-06,9.60877E-07,1.04736E-06,1.02915E-06,9.59267E-07,9.58572E-07,9.58034E-07,1.02593E-06,1.02772E-06,1.02672E-06,9.58935E-07,9.58959E-07,1.04308E-06,9.57757E-07,9.58091E-07,9.59639E-07
Default setting 05,9.75846E-07,1.06097E-06,9.76397E-07,9.60265E-07,1.02917E-06,9.61703E-07,1.04865E-06,1.03004E-06,9.5864E-07,9.58662E-07,9.58635E-07,1.02399E-06,1.0248E-06,1.02571E-06,9.58539E-07,9.59337E-07,1.04248E-06,9.5844E-07,9.59084E-07,9.57995E-07
Default setting 06,9.76846E-07,1.05722E-06,9.77147E-07,9.57124E-07,1.027E-06,9.60513E-07,1.04716E-06,1.04076E-06,9.63305E-07,9.57696E-07,9.58543E-07,1.02644E-06,1.03165E-06,1.02755E-06,9.58249E-07,9.59091E-07,1.04512E-06,9.57873E-07,9.58857E-07,9.56334E-07
Default setting 07,9.7713E-07,1.05845E-06,9.76608E-07,9.58947E-07,1.02883E-06,9.5819E-07,1.04761E-06,1.048E-06,9.62871E-07,9.57914E-07,9.58585E-07,1.02364E-06,1.04599E-06,1.02563E-06,9.55868E-07,9.59409E-07,1.0447E-06,9.58944E-07,9.58303E-07,9.58781E-07
Default setting 08,9.75543E-07,1.0582E-06,9.75974E-07,9.58984E-07,1.02926E-06,9.576E-07,1.04197E-06,1.0469E-06,9.6222E-07,9.58573E-07,9.58234E-07,1.02428E-06,1.03913E-06,1.02593E-06,9.57148E-07,9.58393E-07,1.04535E-06,9.55627E-07,9.58016E-07,9.57567E-07
Default setting 09,9.7636E-07,1.05956E-06,9.76212E-07,9.5931E-07,1.02952E-06,9.56078E-07,1.05078E-06,1.04598E-06,9.61639E-07,9.58022E-07,9.56179E-07,1.02504E-06,1.04206E-06,1.02543E-06,9.56416E-07,9.58843E-07,1.01277E-06,9.54512E-07,9.57365E-07,9.57937E-07
Default setting 10,9.74773E-07,1.05957E-06,9.77142E-07,9.59413E-07,1.0304E-06,9.57562E-07,1.0473E-06,1.0474E-06,9.62278E-07,9.58489E-07,9.57613E-07,1.02775E-06,1.04935E-06,9.72673E-07,9.54782E-07,9.58662E-07,9.76895E-07,9.54768E-07,9.58546E-07,9.55918E-07
Default setting 11,1.03911E-06,1.06049E-06,9.7721E-07,9.60064E-07,1.03072E-06,9.58842E-07,1.04736E-06,1.04565E-06,9.59746E-07,9.58294E-07,9.56418E-07,1.02739E-06,1.04424E-06,9.57777E-07,9.55852E-07,9.57211E-07,9.7651E-07,9.5645E-07,9.5723E-07,9.58934E-07
Default setting 12,1.04349E-06,1.05958E-06,9.75171E-07,9.58821E-07,1.02907E-06,9.61514E-07,1.04634E-06,1.04666E-06,9.59631E-07,9.55851E-07,9.57215E-07,1.02603E-06,1.04387E-06,9.58588E-07,9.55761E-07,1.02567E-06,9.75454E-07,9.56572E-07,9.55096E-07,9.57687E-07
Default setting 13,1.03776E-06,1.05841E-06,9.75584E-07,9.58471E-07,1.03135E-06,9.61313E-07,1.0459E-06,1.04744E-06,9.6098E-07,9.58741E-07,9.60114E-07,1.02527E-06,1.04075E-06,9.57753E-07,9.5567E-07,1.02502E-06,9.70525E-07,9.53412E-07,9.54078E-07,9.58012E-07
Default setting 14,1.03999E-06,1.05774E-06,9.76112E-07,9.61546E-07,1.03067E-06,9.60796E-07,1.04659E-06,1.04732E-06,9.58117E-07,9.59266E-07,9.57035E-07,1.02448E-06,1.04018E-06,9.58008E-07,9.57859E-07,1.02443E-06,9.56067E-07,9.54876E-07,9.59175E-07,1.03273E-06
Default setting 15,1.03562E-06,1.05908E-06,9.7794E-07,9.59724E-07,1.03065E-06,9.60365E-07,1.04647E-06,1.0476E-06,9.56727E-07,9.54724E-07,9.57289E-07,1.02537E-06,1.04075E-06,9.56266E-07,9.59589E-07,1.02665E-06,9.56082E-07,9.54106E-07,9.59115E-07,1.0399E-06
Default setting 16,9.89729E-07,1.05886E-06,9.77193E-07,9.59881E-07,1.02962E-06,9.58341E-07,1.04668E-06,1.04758E-06,9.5997E-07,9.5798E-07,9.57574E-07,1.026E-06,1.04606E-06,9.60516E-07,9.57771E-07,1.02675E-06,9.57267E-07,9.54592E-07,9.59697E-07,1.03867E-06
Default setting 17,9.56358E-07,1.06181E-06,9.73554E-07,9.6033E-07,1.02904E-06,9.58648E-07,1.04765E-06,1.04786E-06,9.62387E-07,9.60504E-07,9.57228E-07,1.027E-06,1.04668E-06,9.60306E-07,9.5891E-07,1.02489E-06,9.5812E-07,9.55048E-07,9.59211E-07,1.04285E-06
Default setting 18,9.58256E-07,1.03687E-06,9.7431E-07,9.58375E-07,1.02942E-06,9.59266E-07,1.04717E-06,1.04862E-06,9.59247E-07,9.60054E-07,9.58472E-07,1.03173E-06,1.04438E-06,9.60395E-07,9.54469E-07,1.02479E-06,9.57616E-07,9.56692E-07,9.62211E-07,1.03807E-06
Default setting 19,9.56101E-07,1.03578E-06,9.73044E-07,9.58329E-07,1.03125E-06,9.6232E-07,1.04698E-06,1.04817E-06,9.60545E-07,9.60092E-07,9.55558E-07,1.04844E-06,1.04475E-06,9.58651E-07,9.56845E-07,1.0268E-06,9.58027E-07,9.55043E-07,9.62638E-07,1.04084E-06
Default setting 20,9.56978E-07,1.02362E-06,9.74279E-07,9.57949E-07,1.03596E-06,9.58925E-07,1.04272E-06,1.04678E-06,9.6052E-07,9.58822E-07,9.57122E-07,1.04823E-06,1.04012E-06,9.58843E-07,1.02746E-06,1.02536E-06,9.55669E-07,1.02755E-06,9.57827E-07,1.04378E-06
