Case 13,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,8.65498E-07,1.00586E-06,9.28874E-07,8.23516E-07,8.25661E-07,8.20117E-07,9.46030E-07,9.35157E-07,9.08923E-07,1.00336E-06,9.36005E-07,9.36807E-07,8.23446E-07,8.38801E-07,8.39356E-07,8.20767E-07,8.80365E-07,8.21485E-07,8.24488E-07,8.25737E-07
Default setting 02,8.68044E-07,1.00216E-06,9.27120E-07,8.24101E-07,8.25592E-07,8.19381E-07,9.37778E-07,9.33534E-07,9.10654E-07,1.00533E-06,9.37286E-07,9.35305E-07,8.25673E-07,8.41238E-07,8.38647E-07,8.22933E-07,8.79047E-07,8.22137E-07,8.25385E-07,8.26895E-07
Default setting 03,8.71098E-07,1.00585E-06,9.28820E-07,8.23664E-07,8.25882E-07,8.19461E-07,9.35537E-07,9.35329E-07,9.07832E-07,1.02127E-06,9.37057E-07,9.45056E-07,8.22972E-07,8.40915E-07,8.37514E-07,8.18900E-07,8.79738E-07,8.23062E-07,8.24574E-07,8.24916E-07
Default setting 04,8.71327E-07,1.00451E-06,9.28630E-07,8.24140E-07,8.24723E-07,8.18263E-07,9.28036E-07,9.34622E-07,9.09188E-07,1.01979E-06,9.37113E-07,9.53635E-07,8.22616E-07,8.38089E-07,8.38312E-07,8.19605E-07,8.77783E-07,8.22777E-07,8.23832E-07,8.23958E-07
Default setting 05,8.75712E-07,1.00567E-06,9.29847E-07,8.25934E-07,8.25906E-07,8.19904E-07,9.28876E-07,9.37460E-07,9.08451E-07,1.02292E-06,9.37515E-07,9.54415E-07,8.23545E-07,8.38098E-07,8.38090E-07,8.19924E-07,8.78146E-07,8.23679E-07,8.24279E-07,8.23970E-07
Default setting 06,8.71654E-07,1.00636E-06,9.32920E-07,8.25383E-07,8.25231E-07,8.18167E-07,9.31151E-07,9.35148E-07,9.09367E-07,1.02090E-06,9.40768E-07,9.54106E-07,8.24017E-07,8.37655E-07,8.37870E-07,8.20129E-07,8.53049E-07,8.24176E-07,8.25428E-07,8.24172E-07
Default setting 07,8.73636E-07,1.00485E-06,9.33835E-07,8.24967E-07,8.26769E-07,8.20166E-07,9.31391E-07,9.30870E-07,9.08730E-07,1.02175E-06,9.39672E-07,9.55568E-07,8.23750E-07,8.36778E-07,8.39286E-07,8.20212E-07,8.22552E-07,8.22113E-07,8.23108E-07,8.24777E-07
Default setting 08,8.72354E-07,1.00455E-06,9.29954E-07,8.24080E-07,8.27364E-07,8.20149E-07,9.31572E-07,9.37154E-07,9.09635E-07,1.01461E-06,9.34049E-07,9.55980E-07,8.25922E-07,8.37439E-07,8.36602E-07,8.20045E-07,8.24473E-07,8.21612E-07,8.24105E-07,8.25508E-07
Default setting 09,9.14243E-07,1.00314E-06,9.30482E-07,8.24560E-07,8.26949E-07,8.18786E-07,9.32518E-07,9.36376E-07,9.13834E-07,9.43253E-07,9.35086E-07,9.55079E-07,8.23074E-07,8.37315E-07,8.28445E-07,8.20352E-07,8.21615E-07,8.23130E-07,8.25700E-07,8.24796E-07
Default setting 10,9.11579E-07,1.00963E-06,9.34652E-07,8.21676E-07,8.27793E-07,8.18360E-07,9.32466E-07,9.35713E-07,9.11336E-07,9.30721E-07,9.34763E-07,9.53421E-07,8.22504E-07,8.38719E-07,8.25607E-07,8.85008E-07,8.23168E-07,8.21241E-07,8.31456E-07,8.24509E-07
Default setting 11,9.05869E-07,1.00304E-06,9.30940E-07,8.22831E-07,8.26708E-07,8.19136E-07,9.30521E-07,9.28975E-07,9.12016E-07,9.33065E-07,9.34515E-07,9.52891E-07,8.23140E-07,8.29940E-07,8.26632E-07,8.91320E-07,8.23931E-07,8.22386E-07,8.35214E-07,8.26200E-07
Default setting 12,9.07284E-07,1.00724E-06,9.29670E-07,8.25706E-07,8.29981E-07,8.21170E-07,9.30425E-07,1.00955E-06,9.11757E-07,9.26196E-07,9.34722E-07,9.53542E-07,8.24203E-07,8.26767E-07,8.26368E-07,8.91672E-07,8.23387E-07,8.22153E-07,8.35772E-07,8.23452E-07
Default setting 13,9.03695E-07,1.00870E-06,9.31236E-07,8.23358E-07,8.39436E-07,8.19989E-07,9.28766E-07,1.02515E-06,9.10802E-07,9.30762E-07,9.34269E-07,9.52352E-07,8.23573E-07,8.26035E-07,8.27133E-07,8.89800E-07,8.80585E-07,8.22787E-07,8.37579E-07,8.24251E-07
