Case 16,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,1.30952E-06,1.30832E-06,1.36862E-06,1.37738E-06,1.35242E-06,1.34744E-06,1.31513E-06,1.31588E-06,1.34470E-06,1.30323E-06,1.31140E-06,1.31468E-06,1.37377E-06,1.37447E-06,1.31305E-06,1.31544E-06,1.30258E-06,1.37563E-06,1.30156E-06,1.37388E-06
Default setting 02,1.30829E-06,1.31808E-06,1.36908E-06,1.37477E-06,1.34900E-06,1.34881E-06,1.31504E-06,1.31519E-06,1.34747E-06,1.30788E-06,1.30514E-06,1.31382E-06,1.33105E-06,1.37713E-06,1.31309E-06,1.31232E-06,1.30940E-06,1.37336E-06,1.30676E-06,1.36945E-06
Default setting 03,1.31247E-06,1.34313E-06,1.36822E-06,1.37307E-06,1.35042E-06,1.33642E-06,1.31083E-06,1.31545E-06,1.34590E-06,1.30853E-06,1.31058E-06,1.31079E-06,1.31203E-06,1.35708E-06,1.31546E-06,1.30696E-06,1.31109E-06,1.37418E-06,1.30058E-06,1.37096E-06
Default setting 04,1.31014E-06,1.33771E-06,1.36837E-06,1.37604E-06,1.34889E-06,1.31558E-06,1.31498E-06,1.30952E-06,1.34744E-06,1.31698E-06,1.30598E-06,1.31327E-06,1.31295E-06,1.31269E-06,1.31942E-06,1.30608E-06,1.31100E-06,1.37795E-06,1.30029E-06,1.37172E-06
Default setting 05,1.30875E-06,1.34348E-06,1.36641E-06,1.37402E-06,1.33938E-06,1.31363E-06,1.31503E-06,1.31535E-06,1.34232E-06,1.31013E-06,1.31108E-06,1.31651E-06,1.31259E-06,1.36857E-06,1.31043E-06,1.30879E-06,1.31062E-06,1.37246E-06,1.30028E-06,1.36928E-06
Default setting 06,1.30741E-06,1.34132E-06,1.36812E-06,1.37411E-06,1.31821E-06,1.31769E-06,1.31415E-06,1.31448E-06,1.34435E-06,1.31017E-06,1.31136E-06,1.31180E-06,1.31232E-06,1.37398E-06,1.30900E-06,1.31321E-06,1.30579E-06,1.37448E-06,1.30041E-06,1.37074E-06
Default setting 07,1.30928E-06,1.34310E-06,1.36689E-06,1.37571E-06,1.31426E-06,1.32036E-06,1.31087E-06,1.31105E-06,1.32096E-06,1.30365E-06,1.31155E-06,1.30857E-06,1.30742E-06,1.36889E-06,1.31344E-06,1.31212E-06,1.31539E-06,1.37467E-06,1.30053E-06,1.37259E-06
Default setting 08,1.31253E-06,1.34381E-06,1.36729E-06,1.37784E-06,1.32176E-06,1.31580E-06,1.31487E-06,1.31438E-06,1.31683E-06,1.31446E-06,1.31405E-06,1.31319E-06,1.31170E-06,1.37001E-06,1.31849E-06,1.31355E-06,1.31552E-06,1.31402E-06,1.30152E-06,1.36991E-06
Default setting 09,1.31094E-06,1.34079E-06,1.36625E-06,1.37613E-06,1.31912E-06,1.32269E-06,1.31491E-06,1.31485E-06,1.31305E-06,1.31180E-06,1.30772E-06,1.31109E-06,1.31616E-06,1.31648E-06,1.31765E-06,1.30952E-06,1.30792E-06,1.31310E-06,1.30045E-06,1.37180E-06
Default setting 10,1.31009E-06,1.34272E-06,1.31970E-06,1.37455E-06,1.31576E-06,1.32031E-06,1.31096E-06,1.31577E-06,1.31849E-06,1.31131E-06,1.31281E-06,1.30952E-06,1.31186E-06,1.31041E-06,1.31283E-06,1.31602E-06,1.30484E-06,1.30539E-06,1.30261E-06,1.37244E-06
Default setting 11,1.30071E-06,1.32627E-06,1.31104E-06,1.37594E-06,1.31296E-06,1.31896E-06,1.30777E-06,1.31040E-06,1.31589E-06,1.31091E-06,1.31411E-06,1.30804E-06,1.31617E-06,1.30979E-06,1.31743E-06,1.31208E-06,1.30410E-06,1.31827E-06,1.30513E-06,1.37112E-06
Default setting 12,1.31026E-06,1.31148E-06,1.31263E-06,1.37621E-06,1.31975E-06,1.34372E-06,1.31460E-06,1.31076E-06,1.31685E-06,1.30758E-06,1.31165E-06,1.31232E-06,1.31413E-06,1.31005E-06,1.31688E-06,1.31210E-06,1.31091E-06,1.31235E-06,1.30493E-06,1.36941E-06
Default setting 13,1.30935E-06,1.31327E-06,1.31059E-06,1.37370E-06,1.31931E-06,1.34661E-06,1.31562E-06,1.31538E-06,1.31292E-06,1.31948E-06,1.30790E-06,1.31459E-06,1.31197E-06,1.30164E-06,1.31524E-06,1.30718E-06,1.30966E-06,1.31147E-06,1.31027E-06,1.36991E-06
