Case 20,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Default setting 01,2.05550E-06,2.03601E-06,2.03649E-06,2.08150E-06,2.19059E-06,2.18847E-06,2.18973E-06,2.04222E-06,2.08708E-06,2.13520E-06,2.03575E-06,2.03749E-06,2.14104E-06,2.18402E-06,2.03717E-06,2.03478E-06,2.04634E-06,2.03105E-06,2.03217E-06,2.03881E-06
Default setting 02,2.03412E-06,2.03686E-06,2.03894E-06,2.07793E-06,2.18755E-06,2.18238E-06,2.18837E-06,2.03425E-06,2.08881E-06,2.14125E-06,2.03478E-06,2.03501E-06,2.16664E-06,2.18324E-06,2.03269E-06,2.03454E-06,2.05221E-06,2.03112E-06,2.03571E-06,2.03121E-06
Default setting 03,2.03921E-06,2.03505E-06,2.03528E-06,2.07601E-06,2.19198E-06,2.18949E-06,2.19137E-06,2.03624E-06,2.08909E-06,2.13307E-06,2.03686E-06,2.03153E-06,2.19054E-06,2.18410E-06,2.04025E-06,2.03876E-06,2.04149E-06,2.03634E-06,2.03500E-06,2.03010E-06
Default setting 04,2.03306E-06,2.03817E-06,2.03892E-06,2.03674E-06,2.18967E-06,2.18635E-06,2.18959E-06,2.03573E-06,2.08710E-06,2.14007E-06,2.03613E-06,2.03618E-06,2.19142E-06,2.17001E-06,2.03671E-06,2.04978E-06,2.04009E-06,2.03158E-06,2.03372E-06,2.03528E-06
Default setting 05,2.03431E-06,2.03700E-06,2.03741E-06,2.03404E-06,2.19086E-06,2.16929E-06,2.18966E-06,2.03527E-06,2.08802E-06,2.16029E-06,2.03679E-06,2.03706E-06,2.19140E-06,2.13414E-06,2.03822E-06,2.13753E-06,2.03665E-06,2.03860E-06,2.03498E-06,2.03695E-06
Default setting 06,2.03221E-06,2.03883E-06,2.04528E-06,2.13726E-06,2.18923E-06,2.13665E-06,2.18980E-06,2.03938E-06,2.09083E-06,2.18999E-06,2.03630E-06,2.03481E-06,2.19021E-06,2.03606E-06,2.03638E-06,2.14290E-06,2.03672E-06,2.03952E-06,2.03675E-06,2.03689E-06
Default setting 07,2.03433E-06,2.03858E-06,2.03777E-06,2.13343E-06,2.19225E-06,2.13042E-06,2.18718E-06,2.03640E-06,2.05851E-06,2.18579E-06,2.03838E-06,2.04063E-06,2.19042E-06,2.03373E-06,2.03956E-06,2.06601E-06,2.03732E-06,2.03934E-06,2.03067E-06,2.03913E-06
Default setting 08,2.03518E-06,2.03845E-06,2.03923E-06,2.13713E-06,2.18950E-06,2.13403E-06,2.18918E-06,2.03889E-06,2.04662E-06,2.18738E-06,2.03236E-06,2.03522E-06,2.19190E-06,2.03528E-06,2.03464E-06,2.03654E-06,2.03785E-06,2.03628E-06,2.03395E-06,2.03686E-06
Default setting 09,2.04281E-06,2.03616E-06,2.03619E-06,2.13337E-06,2.19081E-06,2.13096E-06,2.18858E-06,2.03869E-06,2.04118E-06,2.18504E-06,2.03976E-06,2.03491E-06,2.18950E-06,2.03562E-06,2.03845E-06,2.03571E-06,2.03858E-06,2.03883E-06,2.04340E-06,2.04081E-06
Default setting 10,2.04142E-06,2.04033E-06,2.03926E-06,2.15088E-06,2.16397E-06,2.13744E-06,2.18739E-06,2.03285E-06,2.04488E-06,2.18779E-06,2.03563E-06,2.03493E-06,2.19006E-06,2.03340E-06,2.03938E-06,2.03595E-06,2.03730E-06,2.03545E-06,2.03889E-06,2.13061E-06
Default setting 11,2.03943E-06,2.03707E-06,2.03469E-06,2.18930E-06,2.13905E-06,2.12975E-06,2.18972E-06,2.03570E-06,2.04936E-06,2.18655E-06,2.03596E-06,2.03814E-06,2.19091E-06,2.03485E-06,2.04063E-06,2.03877E-06,2.03740E-06,2.04006E-06,2.03661E-06,2.14040E-06
Default setting 12,2.03765E-06,2.04058E-06,2.03534E-06,2.18747E-06,2.14193E-06,2.13868E-06,2.19121E-06,2.03440E-06,2.04520E-06,2.18820E-06,2.03496E-06,2.04328E-06,2.14550E-06,2.03833E-06,2.04146E-06,2.04056E-06,2.04175E-06,2.03926E-06,2.03490E-06,2.13285E-06
Default setting 13,2.04253E-06,2.03775E-06,2.03822E-06,2.18856E-06,2.13819E-06,2.12974E-06,2.18928E-06,2.03513E-06,2.04406E-06,2.18624E-06,2.03592E-06,2.03757E-06,2.13648E-06,2.03553E-06,2.04387E-06,2.04139E-06,2.03634E-06,2.04125E-06,2.03142E-06,2.14216E-06
Default setting 14,2.03535E-06,2.03614E-06,2.04297E-06,2.18529E-06,2.14884E-06,2.13670E-06,2.19234E-06,2.04205E-06,2.04488E-06,2.19081E-06,2.03254E-06,2.03704E-06,2.14129E-06,2.03500E-06,2.03581E-06,2.03750E-06,2.03555E-06,2.03582E-06,2.03003E-06,2.13086E-06
Default setting 15,2.03977E-06,2.03118E-06,2.03723E-06,2.18879E-06,2.13984E-06,2.15781E-06,2.18843E-06,2.03865E-06,2.04335E-06,2.14843E-06,2.03563E-06,2.03850E-06,2.13354E-06,2.03991E-06,2.03457E-06,2.03420E-06,2.03612E-06,2.03722E-06,2.03170E-06,2.14053E-06
Default setting 16,2.03349E-06,2.03519E-06,2.03404E-06,2.18325E-06,2.13963E-06,2.18475E-06,2.14588E-06,2.03846E-06,2.04329E-06,2.05645E-06,2.03479E-06,2.03863E-06,2.06058E-06,2.14348E-06,2.03651E-06,2.03927E-06,2.03531E-06,2.04161E-06,2.02980E-06,2.14684E-06
Default setting 17,2.03486E-06,2.03260E-06,2.03178E-06,2.18770E-06,2.13814E-06,2.18573E-06,2.13630E-06,2.03839E-06,2.04233E-06,2.03254E-06,2.03631E-06,2.04172E-06,2.03709E-06,2.13193E-06,2.03783E-06,2.03718E-06,2.03613E-06,2.04115E-06,2.03206E-06,2.18768E-06
